Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 전기 패널을 열어본다. 전기패널은 어딘가 이상하게 꼬여있는 듯 하다. 누군가에 의해 엉망이 되버린 것 같다. 당신은 지식은 전무하지만@ 나가기 위한 일념 하나로 전기 패널을 고쳐보려 한다.,,,,,1,,,,,,,
end,,,,,,,,,,,,,,,
check,0,,,,,,,,고치기 들어 보인다...,1d100,int,d1,,,
,,,,,,,,,,,,d2,,,
,,,,,,,,,,,,d3,,,
end,,,,,,,,,,,,,,,
d1,0,나레이션,당신은 전기에 관해서는 문외한이다.,,,,,,,,,,,,
,0,,잠깐 깜빡이며 건너편에 있는 존재가 당신에게 더욱 가까워짐을 느낀다.,,,,,2,,,,,,,
end,,,,,,,,,,,,,,,
d2,0,나레이션,당신은 다가오는 위협에도 불구하고 시간 내에 전선을 정상화 시켰다. ,,,,,,,,,,,,
,0,,전기가 들어오고 불이 환해지자@ 당신을 위협하던 무엇인가는 순식간에 그 자리에 존재하지 않았다는 듯 사라진다. 이제 전기가 들어온다.,,,,,,,,,,,,
,0,,당신은 1층으로 향한다.,,,,,,,,,,,,9
end,,,,,,,,,,,,,,,
d3,0,나레이션,당신은 전기에 관해서는 문외한이다.,,,,,,,,,,,,
,0,,잠깐 깜빡이며 건너편에 있는 존재가 당신에게 더욱 가까워짐을 느낀다.,,,,,2,,,,,,,
end,,,,,,,,,,,,,,,
check2,0,,,,,,,,이번엔 반드시 성공해야한다.,1d100,int,d4,,,
,,,,,,,,,,,,d5,,,
,,,,,,,,,,,,d6,,,
end,,,,,,,,,,,,,,,
d4,0,나레이션,당신은 다가오는 위협에도 불구하고 시간 내에 전선을 정상화 시켰다. ,,,,,,,,,,,,
,0,,전기가 들어오고 불이 환해지자@ 당신을 위협하던 무엇인가는 순식간에 그 자리에 존재하지 않았다는 듯 사라진다. 이제 전기가 들어온다.,,,,,,,,,,,,
,0,,당신은 1층으로 향한다.,,,,,,,,,,,,9
end,,,,,,,,,,,,,,,
d5,0,나레이션,당신은 다가오는 위협에도 불구하고 시간 내에 전선을 정상화 시켰다. ,,,,,,,,,,,,
,0,,전기가 들어오고 불이 환해지자@ 당신을 위협하던 무엇인가는 순식간에 그 자리에 존재하지 않았다는 듯 사라진다. 이제 전기가 들어온다.,,,,,,,,,,,,
,0,,당신은 1층으로 향한다.,,,,,,,,,,,,9
end,,,,,,,,,,,,,,,
d6,0,나레이션,당신은 끝내 시간 내에 전기를 연결하지 못했다. 유형화 된 어둠이 당신을 잡아 삼킨다. ,,,,15,,,,,,,,
,0,,당신은 두려움을 이기지 못한다. 어디에 있지? 어디로 간거지? 당신의 앞으로 다가오던 그것은 어느샌가 보이지 않는다. ,,,,,,,,,,,,
,0,,아니@ 사실 아무것도 보이지 않는다. 조금이라도 반짝이던 전기패널도 당신의 광원도 모든 것이 보이지 않는다. ,,,,,,,,,,,,
,0,,그러다 당신은 문득 목 뒤에 소름이 돋는 것을 느낀다. 뒤에 있다. 당신은 본능적으로 그것이 뒤에 있음을 느낀다. 절망한다. 그리고…,,,,,,,,,,,,
,0,,[으적!!],,,,,,,,,,,,
,0,,바닥에는 알 수 없는 액체가 추가되고@ 패널은 아무 일 없다는 깜빡이다 불이 들어올 뿐이었다. 다음 먹잇감을 기다리듯이.,,,,,,,,,,2,,
end,,,,,,,,,,,,,,,
