Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 책이 꽂혀있는 책장으로 향한다. 당신은 혹시 지금 같은 상황에 대처하게 할 수 있는 책이 있을까 싶어 책장을 살펴보기로 한다 . ,,,,,1,,,,,,,
end,,,,,,,,,,,,,,,
check,0,나레이션,,,,,,,자료조사,1d100,int,d1,,,
,,,,,,,,,,,,d2,,,
,,,,,,,,,,,,d3,,,
end,,,,,,,,,,,,,,,
d1,0,나레이션,어딘가 쓸모 있어보이는 하등종도 할 수 있는 칵테일 주조법 책을 손에 넣었다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d2,0,나레이션,어딘가 쓸모 있어보이는 하등종도 할 수 있는 칵테일 주조법 책을 손에 넣었다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d3,0,나레이션,아무것도 찾을 수 없었다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
