Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,테이블 위에  음료가 놓아져 있다. 당신은 문득 여태까지 오면서 물 한잔 마시지 않았다는 사실을 떠올린다. 급격하게 목이 마르는 듯한 느낌이 든다.,,,,,,,,,,,,
,,,음료를 어떻게 할까?,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,나레이션,,,마신다.,s1,,,,,,,,,
,,,,,그대로 둔다.,s2,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,나레이션,당신은 누구의 것인지 모를 음료를 마신다. 그것은 달콤했고@ 새콤했으며@ 매콤했고@ 청량했으며@ 묵직했고@ 시원하면서@ 따듯했다. 당신은 곧 충만함이 당신의 안을 가득 채우는 것을 느낀다. 그러다@ 당신은 당신의 시야가 점점 낮아지는 것을 느낀다. 어찌 된 일일까? 당신의 키가 작아지는 것일까?,,,,,,,,,,,,
,0,나레이션,당신은 당신의 몸을 살펴본다. 이내 당신은 큰 충격에 빠진다. 당신의 몸은 점점 녹아 내려간다. 다리는 이미 모두 녹아 내렸다. 다음은 몸통 다음은 머리..곧 당신은 모두 녹아내렸다.,,,,,,,,,,,,
,0,나레이션,당신이 놓쳐버린 컵은 어느샌가 다시 테이블 위로 올라가져 있다. 이내 조금 달그락 거리더니@ 액체가 되어버린 당신을 자신의 몸에 담는다. 마치@ 아무 일도 없었다는 듯이@ 테이블 위에는 음료 한잔이 올라가 있을 뿐이었다.,,,,,,,,,,1,,
end,,,,,,,,,,,,,,,
s2,0,나레이션,아무리 그래도 누구의 것인지 모를@ 어떤 것으로 만들어졌을 지 모를 음료를 마실 순 없다. 당신은 그렇게 생각했을 터였다. 하지만 당신은 그 음료를 외면할 수 없었다. 당신은 목이 말랐다. 당신의 몸은 수분을 요구한다,,,,,,,,,,,,
,0,나레이션,눈 앞의 음료를 마시라고 요구하고 있다. 정상적이지 않다. 그렇게 생각하며 당신은 커피 테이블에서 도망쳐 나온다. 하지만@ 음료에 관한 생각은 당신을 계속하여 괴롭힌다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
