Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 아무튼 교환을 위해 교환원에게 말을 건다.,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,,,,교환한다.,s1,,,,,,,,,
,,,,,교환하지 않는다.,s2,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,나레이션,당신은 망설임 없이 교환원에게 연회장 입장권을 요구한다.,,,,,,,,,,,,
,0,교환원,“연회장 입장권 교환을 위해 비용을 지불해 주십시오@ 손님. ”,,,,,,,,,,,,
,0,,하지만 당신은 지불할 수단이 존재하지 않았다. 딩신이 그대로 돌아가려는 찰 나.,,,,,,,,,,,,
,0,교환원,“확인되었습니다.”,,,,,,,,,,,,
,0,나레이션,그 음성은 조금 기쁜 듯이 말한다. 확인되었다니? 당신은 아무것도 지닌 게 없을 터. 곧이어 가림막 아래 뚫린 구멍에서 무엇인가가 빠져나와 당신의 몸을 휘감았다. ,,,,,,,,,,,,
,,,그것은 너무나도 빨라@ 당신이 반응할 수 조차 없었다. 마지막으로 당신이 알 수 있었던 것은 사지가 분리되었다는 것@ 그리고 그 조차도 곧이어 볼 수 없게 되었다는 것이었다.,,,,,,,,,,,,
,,,교환소는 몇 차례 씹는 듯한 으적 으득 소리를 내고는@ 만족했는지 그르릉 소리를 낸다.,,,,,,,,,,,,
,0,교환원,“즐거운 시간 되셨길 바랍니다.”,,,,,,,,,,1,,
end,,,,,,,,,,,,,,,
s2,0,,그 음성은 조금 아쉬운듯이 말한다.,,,,,,,,,,,,
,,,"다음에 또 오세요..킥킥",,,,,,,,,,,,
end,,,,,,,,,,,,,,,
