Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 나갈 수 있고@ 방에 머물 수 있다. ,0,,,,,,,,,,,
Example,0,,어떻게 할 것인가?,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,나레이션,,,나간다.,s1,,,,,,,,,
,,,,,머무른다.,s2,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,나레이션,문을 열고 나가자 여전히 어두운 복도가 보인다. ,0,,,,,,,,,,,
,0,???,다 끝난 것인가? 당신은 맘을 놓고 몸을 완전히 방 밖으로 내보낸다.,0,,,,,,,,,,,
,0,,그 순간@ 문이 닫힌다. 당신은 당황하며 다시 문을 열어보려 애쓰지만 문은 열리지 않는다.,0,,,,,,,,,,,
,,,“나오셔도 좋습니다.밖은 안전합니다.나오셔도 좋습니다. 밖은 안전합니다. 나오셔도 좋습니다. 풉. 밖은 안전합니다. 나오셔도 좋습니다. 키킥. 밖은 안전합니다. 나오셔도 좋습니다.밖은 안전합니다.나오셔도 좋습니다.밖은 안전합니다.풉키킥킥킥”,,,,,,,,,,,,
,,,당신은 뒤에서 들려오는 끔찍한 소리에 천천히 뒤를 돌아본다. ,,,,,,,,,,,,
,,,거기엔 직원의 옷을 입고 직원인 척 하는 존재가 입을 찢어져라 웃으며 서 있다.,,,,,,,,,,,,
,,,당신은 극심한 공포감에 주저앉고 만다. 그 존재가 서서히 당신을 향해 다가오고 그리곤..,,,,,,,,,,1,,
end,,,,,,,,,,,,,,,
s2,0,나레이션,당신은 문을 열지 않고 조금 더 기다리기로 한다. 밖에 있는 사람이 진짜 직원인지도 확실하지 않다.,0,,,,,,,,,,,
,0,???,“…나와..나와도 좋다니까? 밖은 안전해..밖은 안전하다고!!!!!!!!!”,,,,,,,,,,,,
,0,나레이션,쾅쾅쾅쾅쾅쾅쾅쾅쾅쾅쾅,,,,,,,,,,,,
,0,나레이션,당신은 밖에서 미친 듯이 문을 두드리는 소리를 들으며 공포감을 느낀다.,,,,,,,,,,,,
,0,???,“킥킥..킥..킥…안속네..”,,,,,,,,,,,,
,0,,문을 두드리는 소리는 곧 잦아 든다. 당신은 고요한 방 안에서 그저 기다릴 뿐이다. ,,,,,,,,,,,,
,,,그렇게 몇 분이 지났을까@ 곧 이어 조용히 노크 소리가 방안을 깨운다. ,,,,,,,,,,,,
,,,[똑 똑 똑] ,,,,,,,,,,,,
,,,밖에 있는 존재는 아무런 말도 없이 노크를 하고 복도 저 편으로 사라진 것 같다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
