Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 문득@ 여태까지 아무것도 입에 대지 않았다는 사실을 깨닫는다. 여태까지 힘든 시간을 보냈으니@ 연회 음식으로 나 자신에게 자그마한 보상을 줘도 되지 않을까? 그렇게 생각하며 음식 테이블쪽으로 다가간다.,,,,,,,,,,,,
,0,,그곳에는 신선한 해산물과 고기 요리@ 다채로운 샐러드와 파스타@ 그리고 다양한 디저트로 가득한 뷔페가 준비되어 있다. 자연스럽게 음식의 냄새가 당신의 코를 통해 들어가고@ 곧 당신은 먹고 싶어 참을 수 없는 충동에 휩싸인다.,,,,,1,,,,,,,
end,,,,,,,,,,,,,,,
check,0,나레이션,,,,,,,먹어도 될까...?,1d100,int,d1,,,
,,,,,,,,,,,,d2,,,
,,,,,,,,,,,,d3,,,
end,,,,,,,,,,,,,,,
d1,0,나레이션,당신은 이 충동이 정상적이지 않음을 깨닫는다. 역시 이 위험한 호텔은 안전한 것이 하나 없는 것이 분명하다는 생각이 든다.,,,,,,,,,,,,
,0,,이내 음식을 멀리하고 등을 돌려 연회장 홀로 돌아간다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d2,0,나레이션,당신은 이 충동이 정상적이지 않음을 깨닫는다. 역시 이 위험한 호텔은 안전한 것이 하나 없는 것이 분명하다는 생각이 든다.,,,,,,,,,,,,
,0,,이내 음식을 멀리하고 등을 돌려 연회장 홀로 돌아간다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d3,0,나레이션,당신은 충동을 참지 못했다. 상상할 수 없을 정도의 허기짐이 당신을 덮치고@ 당신은 손을 뻗어 음식을 먹는다. 황홀하디 황홀한 맛이다. ,,,,,,,,,,,,
,0,,당신은 계속해서 음식을 집어 먹는다. 어딘지 모를 스테이크@ 다리 채로 들고 뜯어 먹는 고기@ 향신료와 고소하면서 리치한 맛이 나는 스프.,,,,,,,,,,,,
,0,,하지만 이내 당신은 뭔가 이상함을 느낀다. 배가 부글부글 끓으며 심각한 복통이 일어나는 듯 하다. 당신은 식은땀을 흘린다. ,,,,,,,,,,,,
,0,,얼굴이 붉었다 푸르렀다 하며 몸에서 적신호를 보낸다. 곧 당신은 참지 못하고 구토를 하고 만다. 이내 당신은 다시 제정신을 차린다. ,,,,,,,,,,,,
,0,,당신은 통제할 수 없는 자신의 충동에 두려움을 느낀다.,,,,,2,,,,,,,
end,,,,,,,,,,,,,,,
check2,0,나레이션,,,,,,,정신이 혼미하다..,1d6,san,d4,,,
end,,,,,,,,,,,,,,,
d4,0,나레이션,또한 미약하게 남아있는 복통을 느낀다. 아마 한동안 당신을 괴롭힐 것 같다.,,,,,,,,,,,,
,,,당신은 아픈 몸을 이끌고 쳐다보기도 싫은 음식 테이블을 떠나 연회장 홀로 돌아간다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
