Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,차임벨을 울리자 얼마 지나지 않아 직원이 어디선가 홀연히 나타난다. 당신은 혹시 빨간 음료가 있는지 물어본다.,0,,,,,,,,,,,
Example,0,나레이션,직원은 품 안에서 음료 카테고리가 적힌 종이를 당신에게 보여준다. 그곳에는 다음과 같은 종류가 적혀있다.,,,,,,,,,,,,
Example,0,,메리의 블러드: 유명한 메리로 만든 주스. 재료는 신선한 메리 100%이다.,0,,,,,,,,,,,
Example,0,,수박수박수 주스 : 손이 데코레이션 된 빨간 주스이다. 재료가 뭐인지는 불명이다.,0,,,,,,,,,,,
Example,0,,팝팝스파클: 눈알이 둥둥 떠다니는 스파클링 음료. **갈증 해소**에 제격이다.,0,,,,,,,,,,,
,0,,무엇을 가져갈까?,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,,,,메리의 블러드,s1,,,,,,,,,
,,,,,수박수박수 주스,s2,,,,,,,,,
,,,,,팝팝 스파클,s3,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,,메리의 블러드를 획득했다,,,,,,,,,,,5,
end,,,,,,,,,,,,,,,
s2,0,,수박수박수 주스를 획득했다,,,,,,,,,,,6,
end,,,,,,,,,,,,,,,
s3,0,,팝팝 스파클을 획득했다,,,,,,,,,,,4,
end,,,,,,,,,,,,,,,
