Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 다른 인간을 보며 반가움을 느낀다. 한 걸음에 다가가 말을 건다. 하지만@ 묘한 위화감이 당신을 휩쓴다.,,,,,,,,,,,,
,0,나레이션,그것은 인간처럼 보이지만@ 인간이 아닌 것 같다. 당신은 불쾌한 느낌을 지우지 못한다. 그것은 이제 그 커다란 눈을 당신에게 고정하며 말을 건다.,,,,,,,,,,,,
,2,손님,“인간이니?”,,,,,,,,,,,,
,0,나레이션,당신은 그쪽도 인간이 아니냐며 이야기를 꺼낸다. 그것은 섬뜩하게 웃는다.,,,,,,,,,,,,
,2,손님,“아아..나도 인간이지” 킥킥,,,,,,,,,,,,
,0,나레이션,그는@ 아니 그것은 소름 끼치게 웃는다. 당신은 돋아오른 소름을 애써 털어내며 그녀에게 혹시 끝이 보이지 않는 복도에 대해 묻는다.,,,,,,,,,,,,
,2,손님,“난 거기 지나갈 수 있는 방법 아는데..나랑 같이 가면 갈 수 있을거야.”,,,,,,,,,,,,
,0,나레이션,그것은 사용해 본 적 없는 근육을 사용하듯@ 온 얼굴에 있는 근육을 떨며 웃는 얼굴을 모방한다. 어떻게 할까?,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,나레이션,,,따라간다,s1,,,,,,,,,
,,,,,따라가지 않는다,s2,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,나레이션,당신은 손님을 따라 어둡고 끝이 보이지 않는 복도로 나선다. 당신은 또 다시 당신을 옥죄는 묘한 느낌에 뒷걸음 친다. 그것은 아무렇지도 않다는 듯@ 복도로 걸어 나선다. 그러고는 몸을 돌려 당신을 향해 손짓한다.,,,,,,,,,,,,
,2,손님,“뭐해? 어서 오지 않고.”,,,,,,,,,,,,
,0,나레이션,,,,,,,,,,,,,
,0,나레이션,그것은 당신을 향해 손을 내민다. 당신은 선택의 여지 없이@ 그것의 손을 잡는다. 처음엔 평범하게 쥐었던 손이 점점 꽉 쥐어져 온다. 곧 손이 부러질 듯 아파오고@ 당신은 다급히 그것에게 떨어지려 한다.,,,,,,,,,,,,
,0,나레이션,그러나 당신은 그것에게서 벗어날 수 없었다. 달아나려 할 수록 손은 더욱 더 당신을 옥죄어온다.,,,,,,,,,,,,
,2,손님,“킥킥킥킥킥킥킥”,,,,,,,,,,,,
,0,나레이션,그것은 미친듯이 웃으며 그저 앞을 보며 계속해서 걸을 뿐이었다. 어두운 복도의 저편을 향해 계속. 영원히.,,,,,,,,,,1,,
end,,,,,,,,,,,,,,,
s2,0,나레이션,당신은 이전부터 계속 느껴지는 위화감에 그것을 따라나가지 않기로 한다.,,,,,,,,,,,,
,0,손님,그것은 아쉬운 듯이 중얼거린다.,,,,,,,,,,,,
,2,손님,“킥킥..들켰나? 아깝다..”,,,,,,,,,,,,
,0,나레이션,당신은 등골이 오싹해지는 기분이다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
