Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 아무튼 교환을 위해 교환원에게 말을 건다.,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,,,,교환한다.,s1,,,,,,,,,
,,,,,교환하지 않는다.,s2,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,나레이션,당신은 망설임 없이 교환원에게 연회장 입장권을 요구한다.,,,,,,,,,,,,
,0,교환원,“연회장 입장권 교환을 위해 비용을 지불해 주십시오@ 손님. ”,,,,,,,,,,,,
,0,나레이션,당신은 칩 100개를 넘겨준다.,,,,,,,,,,,,
,0,교환원,“확인되었습니다.”,,,,,,,,,,,,
,0,나레이션,당신은 교환소가 잠시 꿈틀거리는 듯한 느낌을 받는다. 이내 퉷 하는 소리와 함께 티켓이 팔랑 하고 나온다. 그 티켓은 자연스레 당신의 손 위에 안착한다.,,,,,,,,,,,,
,0,교환원,“즐거운 시간 되셨길 바랍니다.”,,,,,,,,,,,,
,0,나레이션,교환원@ 혹은 교환소 그 자체에게서 당신은 무사히 티켓을 손에 넣고 카지노를 빠져 나온다.,,,,,,,,,,,,13
end,,,,,,,,,,,,,,,
s2,0,,그 음성은 조금 아쉬운듯이 말한다.,,,,,,,,,,,,
,,,"다음에 또 오세요..킥킥",,,,,,,,,,,,
end,,,,,,,,,,,,,,,
