Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,엘레베이터 홀은 어두컴컴하고 엘레베이터에서 들어오는 불만이 자그마한 광원으로써의 역할을 하고있다.,,,,,,,,,,,,
,0,,일전에 봤던 고급스럽고 안락했던 모습은 온다간데 보이지 않고 음산하고 무거운 공기가 당신을 옥죄인다.,,,,,,,,,,,,
,0,,당신은 일단 홀수층 엘레베이터를 타고 1층으로 가기 위해 그곳으로 향한다.,,,,,,,,,,,,
,0,,당신은 바삐 걷는 중 이상함을 느낀다. 원래 홀수층 엘레베이터는 이렇게 멀리 떨어져있지 않았다.,,,,,,,,,,,,
,0,,당신은 주변을 돌아본다. 복도에 장식되어있는 저 그림과 몇 번째 눈이 마주친 거 같다. 당신은 어째서인지 반대편으로 도달할 수 없다.,,,,,,,,,,,,
,0,,이 복도는 계속해서 당신을 잡아두려 하는 것 같다. 당신은 식은땀이 당신의 등허리를 타고 흐르는 것을 느낀다.,,,,,1,,,,,,,
end,,,,,,,,,,,,,,,
check,0,나레이션,,,,,,,정신차리자...,1d4,san,d1,,,
end,,,,,,,,,,,,,,,
d1,0,나레이션,이대로는 안되겠다는 생각에 당신은 주변에 무엇인가 도움이될 수 있는 것이 있는지 필사적으로 찾는다. 당신은 벽면에 붙어있는 메모를 하나 발견한다. 아까 방에서 봤던 것과 같은 것이다. 메모에는 다음과 같이 쓰여져 있다.,,,,,,,,,,,,
,0,,[카페로 가서 통과할 수 있는 방법을 찾을 것],,,,,,,,,,,,
,0,,당신은 벽면에 붙어있는 층별 안내도를 살펴본다. 다행히도 카페는 짝수층이다. 바로 옆에 있는 짝수층 엘레베이터로 이동할 수 있을 것 같다.,,,,,,,,,,,,
,0,,어떻게 할까?,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,나레이션,,,메모는 믿을 수 없다. 앞으로 계속 직진한다.,s1,,,,,,,,,
,,,,,이전에도 날 도와준 메모다. 카페로 이동한다.,s2,,,,,,,,,
end,,,,,,,,,,,,,,,
s2,0,나레이션,당신은 메모를 믿고 엘레베이터를 탑승해 카페로 이동한다.,,,,,,,,,,,,3
end,,,,,,,,,,,,,,,
s1,0,나레이션,당신은 이런 상황에서 믿을 수 있는 것은 아무것도 없기에 계속 직진하기로 한다. 계속 전진하다보면 언젠가는 뚫리지 않을까 하는 생각을 하며.,,,,,,,,,,,,
,0,,몇 분. 아니@ 몇 시간이 지났을까? 당신은 점점 몸이 무거워지고 메스꺼움이 올라오는 것을 느낀다.,,,,,,,,,,,,
,0,,옆에 항상 지나치던 인물의 그림은 점점 당신을 꿰뚫어 보는 것 같다. 저것이 저렇게 웃고있던가? 입가도 점점 기괴하게 비틀리는 것 같다.,,,,,,,,,,,,
,0,,당신은 서둘러 자리를 이동한다. 한 걸음 한 걸음이 점점 무거워진다. 몸에는 땀이 가득 흐르고@ 어지럽고 메스꺼운 느낌과 이명이 당신을 가득 채운다.,,,,,,,,,,,,
,0,,당신은 점점 나빠지는 몸 상태에 다시 방으로 돌아가고자 한다. 뒤를 돌아보자 빠르게 멀어지고 있는 엘레베이터 홀이 보인다. 눈의 착각인가? 아니@ 당신은 우선 뛰기로 한다.,,,,,,,,,,,,
,0,,5분...10분...몇번이고 달려봐도 엘레베이터와의 거리는 좁혀지지않는다.,,,,,,,,,,,,
,0,,당신은 이 복도에 갇힌 것 같다는 생각을 한다. 당신은 눈앞이 깜깜해지고@ 잠시 정신을 잃는다.,,,,,,,,,,,,
,0,,당신은 어느새 그림의 앞에 와있다. 당신은 몸을 움직이고있지만 자신의 의지로 움직이는 것은 아니었다.,,,,,,,,,,,,
,0,,그림의 인물은 어느새 그림에서 빠져나온다. 그리고 당신의 손을 잡고 그림 안으로 끌어온다. 당신은 저항하지 못하고 그림 속으로 들어간다.,,,,,,,,,,,,
,0,,그리고 당신은 그 안에 갇힌다. 당신은 온 몸이 녹아 내리는 느낌이 든다. 그리고 당신은 어느새 그림 속 요소 중 하나로 변한다.,,,,,,,,,,,,
,0,,당신은 살려달라고 외치지만@ 복도는 아무 일 없다는 듯이 고요하다.,,,,,,,,,,1,,
end,,,,,,,,,,,,,,,
