Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 책상에 무엇인가 존재하는 것을 눈치 챈다. 분명히 들어왔을 때는 보지 못했던 것 같은 메모가 하나 써져 붙어있다. ,,,,,,,,,,,,
,0,,메모에는 다음과 같이 써져있다,,,,,,,,,,,,
,0,,메뉴얼 확인할 것. 모순 존재.,,,,,1,,,,,,,
end,,,,,,,,,,,,,,,
check,0,,,,,,,,관찰한다.,1d100,int,d1,,,
,,,,,,,,,,,,d2,,,
,,,,,,,,,,,,d3,,,
end,,,,,,,,,,,,,,,
d1,0,나레이션,당신은 이 필체가 무엇인가 낯익다는 느낌을 받는다. 또한 무엇인가에 쫓기듯 쓴 것 같다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d2,0,나레이션,당신은 이 필체가 무엇인가 낯익다는 느낌을 받는다. 또한 무엇인가에 쫓기듯 쓴 것 같다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d3,0,나레이션,당신은 이 메모가 무엇인가에 쫓기듯 쓴 것 같다는 생각을 한다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
