Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 쓸만한 것이 있나 하며@ 티비 바로 아래 있는 서랍을 뒤져본다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 주의 깊게 관찰해 본다.,1d100,int,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,......덜컥!,,,,,,,,,,,,,
,0,,당신의 손에 단단한 막대기 같은 물체가 잡힌다.,,,,,,,,,,,,,9
,0,,당신은 손전등을 챙긴다.,,,,,,,,,,,8,,
end,,,,,,,,,,,,,,,,
d2,0,,......덜컥!,,,,,,,,,,,,,
,0,,당신의 손에 단단한 막대기 같은 물체가 잡힌다.,,,,,,,,,,,,,9
,0,,당신은 손전등을 챙긴다.,,,,,,,,,,,8,,
end,,,,,,,,,,,,,,,,
d3,0,,......덜컥!,,,,,,,,,,,,,
,0,,당신의 손에 단단한 막대기 같은 물체가 잡힌다.,,,,,,,,,,,,,
,0,,......하지만 그것은 서랍장의 일부 조각이다. ,,,,,,,,,,,,,
,0,,당신은 그것이 필요없다 판단하여 원래 자리에 둔다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
