Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신이 간이 엘레베이터에서 내려 주위를 살펴본다. ,,,,,,,,,,,,,
,0,,보아하니 연회장의 요리를 요리하는 주방인 듯 하다. ,,,,,,,,,,,,,
,0,,주방 안은 밝지 않지만 당신이 안에 어떤 것들이 있는지 확인하기에 충분했다.,,,,,,,,,,,,,
,0,,바닥에 흥건히 고여 있는 피@ 한 쪽 테이블 위에 가지런히 모여있는 발들@ 얼핏 보기에도 인간의 것이다. ,,,,,,,,,,,,,
,0,,그 외에도 냄비 위에 올라와 있는 손가락@ 이외에도 여기저기 널부러져 있는 사람의 머릿가죽들이 보인다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,이...이게..무슨..,1d6,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,충격적인 광경에 잠시 정신이 뺴앗긴 탓일까? 당신은 화구 앞 크나큰 한 존재를 신경 쓰지 못한 모양이다. ,,,,,,,,,,,,,
,0,,당신이 문을 열고 들어오는 중에 소음이 발생한 것 같다. ,,,,,,,,,,,,,
,0,,요리사처럼 보이는 그것은 당신쪽을 향해 몸을 돌리고 이동한다.,,,,,,,,,,,,,
,0,,당신은 황급히 몸을 낮추고 천천히 주방 안쪽으로 기어간다.,,,,,,,,,,,,,
,9,,"훅....훅...",,,,,,,,,,,,,
,9,,“이상하다…방금 뭔가 서 있던 것 같은데..”,,,,,,,,,,,,,
,9,,"훅..후욱…",,,,,,,,,,,,,
,9,,“냄새가..신선해…신선한 냄새다…”,,,,,,,,,,,,,
,0,,당신은 뒷편에서 들리는 요리사의 거친 숨결에서 최대한 멀리 떨어진다.,,,,,,,,,,,,,
,9,,"후욱…",,,,,,,,,,,,,
,9,,“아닌가…착각인가…다시…요리하지 않으면…물량이..”,,,,,,,,,,,,,
,-1,,요리사는 그 큰 몸을 이끌고 다시 화구 앞으로 보낸다.,,,,,,,,,,,,,
,0,,당신은 요리사 탓에 주방 안쪽까지 들어와 버렸다.,,,,,,,,,,,,,
,0,,요리사에게 들키지 않게 다시 주방을 빠져나가야겠다고 생각한 당신은 살금살금 발걸음을 옮긴다.,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,조심히 걷자...,1d100,dex,d2,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 바닥에 떨어져 있는 국자를 미처 보지 못하고 발로 차버리고 말았다.,,,,,,,,,,,,,
,0,,당신의 부주의함은 곧 요리사의 관심을 끈다.,,,,,,,,,,,,,
,9,,“….!!!! 내 주방에 누가 들어온거야!!!”,,,,,,,,,,,,,
,0,,요리사는 그 커다란 몸뚱이를 끌고 소음의 진원지로 시선을 옮긴다.,,,,,,,,,,,,,
,0,,그는 당신을 발견하고@ 기쁜듯이 그 살덩이를 꿀렁거린다.,,,,,,,,,,,,,
