Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,요리사는 당신의 어깨 너머로 스토브를 바라보며 중얼거린다. ,,,,,,,,,,,,,
,0,,그 찰나의 목소리를 놓치지 않기 위해 당신은 귀를 기울인다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,이렇게...,1d100,int,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,9,,“불... 잘 맞춰야... 완벽한... 요리.”,,,,,,,,,,,,,
,0,,당신은 손을 떨며 불을 낮추고@ 다시 높인다. ,,,,,,,,,,,,,
,0,,요리가 탈 것 같아 보이지만@ 그와 동시에 불이 너무 약해지면 요리사가 다시 다가올 것 같은 불안감이 당신을 조인다. ,,,,,,,,,,,,,
,0,,완벽한 조절이 없으면 무언가 끔찍한 일이 벌어질 것만 같은 느낌이 든다. ,,,,,,,,,,,,,
,0,,당신은 온 신경을 다해 요리에 집중한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 당신의 요리가 내는 소리에 그의 목소리를 놓치고 만다. ,,,,,,,,,,,,,
,0,,요리사에게 너무 신경을 기울인 탓일까@ 요리에서 심상치 않은 검은 연기가 나온다. ,,,,,,,,,,,,,
,0,,당신은 서둘러 불을 조절한다. 뒤에서 못마땅한 콧김 소리가 들린다. ,,,,,,,,,,,,,
,0,,완벽한 조절이 없으면 무언가 끔찍한 일이 벌어질 것만 같은 느낌이 든다. ,,,,,,,,,,,,,
,0,,당신은 최대한 신경을 쓰며 요리를 살리려 애쓴다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
