Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,요리사의 무거운 목소리가 다시 들린다.,,,,,,,,,,,,,
,9,,“청결... 중요하다...”,,,,,,,,,,,,,
,0,,당신은 눈앞에 보이는 낡고 녹슨 세면대 앞으로 다가가 물을 틀었다.,,,,,,,,,,,,,
,0,,차가운 물이 손을 타고 흘러내리며 소름 끼치는 감각이 전해진다. ,,,,,,,,,,,,,
,0,,도무지 물로는 보이지 않는 꾸덕한 촉감의 검은 색 유체가 당신의 손을 감싼다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,역겨워...,1d100,san,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,역겨운 냄새는 덤이다.,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,냄새...,1d4,desan,d3,,,,
end,,,,,,,,,,,,,,,,
d2,0,,역겨운 냄새는 덤이다.,,,,,3,,,,,,,,
end,,,,,,,,,,,,,,,,
check3,0,,,,,,,,냄새...,1d6,desan,d3,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 찝찝하게 손 씻기를 완료한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
