Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,모든 과정을 끝내고 난 뒤@ 요리사는 잠시 당신을 바라본다. ,,,,,,,,,,,,,
,0,,그리고 당신이 만든 요리를 그가 가지고 있는 국자로 맛 본다.,,,,,,,,,,,,,
,0,,요리사는 얼굴을 잔뜩 찌푸린다. 당신의 요리가 맘에 들지 않는 모양이다.,,,,,,,,,,,,,
,9,-6,“재료만..버렸다…후우욱…”,,,,,,,,,,,,,
,0,,당신을 노려보던 요리사는 순식간에 손을 휘둘러 당신의 두 다리를 부러뜨린다.,,,,,,,,,,,,,
,0,0,상상을 초월하는 고통에 비명이 나오려는 찰나@ 당신의 비명을 요리사의 크고 두꺼운 손이 막는다.,,,,,,,,,,,,,
,9,,“싱싱한..재료..확보..후욱..”,,,,,,,,,,,,,
,0,,당신은 정신을 잃고 싶지만 이상하게도 생생하다. ,,,,,,,,,,,,,
,0,,이전보다도 활력이 돋고 온 몸의 세포가 살아 숨쉬는 것이 느껴질 정도. ,,,,,,,,,,,,,
,0,,그런 상황에서 요리사는 당신의 몸을 토막낸다. 다리@ 팔@ 몸통의 배를 가르고 당신의 내장을 벗겨낸다.,,,,,,,,,,,,,
,0,,이 모든 시간 동안 당신은 고통에 몸부림치며 오지 않을 구원을 바란다. ,,,,,,,,,,,,,
,0,,당신은 요리사가 당신의 목을 칠 때 까지 살아 있을 것이다. 차라리 달콤할 죽음을 바라며.,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
