Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신이 맛있는 냄새에 이끌려 들어온 곳은 주방이다.,,,,,,,,,,,,,
,0,,손질이 되어 여기저기 널려 있는 고깃덩이들@ 재료에서 흘러 나온 피가 바닥에 고여 웅덩이를 이루고 있다.,,,,,,,,,,,,,
,0,,당신이 조금 눈살을 찌푸려 바라본 그곳엔 사람이었던 것들이 토막이 난 채 한 덩이의 고기가 되어 있는 사실을 확인하고 만다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,사..사람?!,1d6,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 당신도 모르게 뒷걸음질 친다.,,,,,,,,,,,,,
,0,,[턱],,,,,,,,,,,,,
,0,,당신의 뒷걸음질은 곧 바로 뒤에 있는 엄청난 질량을 지닌 벽에 부딪히게 된다. ,,,,,,,,,,,,,
,0,,당신이 고개를 꺾어 바라본 그곳엔 요리사가 서있다.,,,,,,,,,,,,,
,0,,육중한 몸에 근육과 지방이 합쳐져 있는 듯한 모양새@ 거대한 식칼과 자신이 이 주방의 요리사라 주장하는 듯한 모자까지. ,,,,,,,,,,,,,
,0,,요리사는 거친 숨을 내쉬며 당신을 바라보고 있다.,,,,,,,,,,,,,
,9,,"""훅...훅...훅.....""",,,,,,,,,,,,,
,9,,“내...조리장..에....왔으면...요리를...해야만...한다.”,,,,,,,,,,,,,
,0,,그는 한 걸음 다가와 무거운 손으로 당신을 조리대 앞으로 끌고 간다. ,,,,,,,,,,,,,
,0,,당신의 몸은 저항할 틈도 없이 그의 손에 이끌려@ 마치 인형처럼 움직인다. ,,,,,,,,,,,,,
,0,,조리대 위에는 이미 준비된 것처럼 보이는 재료들과 피로 물든 도구들이 널려 있다. ,,,,,,,,,,,,,
,0,,당신의 눈앞엔 손질 되지 않은 고깃덩이가 가득 쌓여 있다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
