Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,조리대 위에 놓인 재료들이 당신을 기다리고 있다. ,,,,,,,,,,,,,
,0,,당신은 떨리는 손으로 칼을 들어 재료를 손질하기 시작한다. ,,,,,,,,,,,,,
,0,,칼이 고깃덩이를 가를 때마다 끈적한 피가 당신의 손끝에 묻어나지만@ 당신은 뒤를 돌아보지 않는다. ,,,,,,,,,,,,,
,0,,요리사의 무거운 숨소리가 바로 뒤에서 들리기 때문이다.,,,,,,,,,,,,,
,0,,당신은 떨리는 손길로 고기를 정육한다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,일단..썰자..,1d100,str,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 정육점 주인이라도 된 듯 환상적인 손놀림으로 고리를 정육한다.,,,,,,,,,,,,,
,0,,뒤에 있는 요리사 역시 만족스럽게 콧김을 내쉰다.,,,,,,,,,,,,,
,9,,“후욱….제법이다…”,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 고기를 곤죽을 내 놓는다. ,,,,,,,,,,,,,
,0,,뒤에서 심기가 불편한 듯한 요리사의 콧김소리가 들린다.,,,,,,,,,,,,,
,9,,“….후욱…”,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
