Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,9,,“..이제 조리를 시작해라…”,,,,,,,,,,,,,
,0,,요리사가 가리킨 손 끝에는 조리대가 존재했다.,,,,,,,,,,,,,
,0,,낡고 피로 얼룩진 레시피가 조리대에 펼쳐져 있다. ,,,,,,,,,,,,,
,0,,내용은 무언가 뒤죽박죽으로 쓰여져 있지만@ 당신은 그것을 외면할 수 없다. ,,,,,,,,,,,,,
,0,,당신은 최대한 레시피를 읽으려 노력해본다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,어디..보자...,1d100,int,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 가려진 글자에도 불구하고 글의 맥락으로 재료가 무엇인지 이해해 낸다.,,,,,,,,,,,,,
,0,,당신이 아는 재료도 처음 들어보는 재료도 있다. 개중에는 재료로 존재하면 안되는 것들도 존재한다. ,,,,,,,,,,,,,
,0,,인간의 꼬리뼈@ 100일이 된 아기의 심장@ 물어 넣어 불린 허파. ,,,,,,,,,,,,,
,0,,당신은 어지러움이 몰려오는 것을 느낀다. ,,,,,,,,,,,,,
,0,,긴장을 조금이라도 풀면 기절할 것 같은 기분이 든다.,,,,,,,,,,,,,
,0,,당신은 재료를 팬에 올리고@ 무언가를 섞고@ 끓여내기 시작한다. ,,,,,,,,,,,,,
,0,,스토브에서 올라오는 김과 함께 고기에서 나는 기괴한 냄새가 공기를 채운다. ,,,,,,,,,,,,,
,0,,숨을 쉴 때마다 코끝을 자극하는 그 냄새에 당신의 위장이 요동치지만@ 요리를 멈출 수는 없다.,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신이 얼핏 보기에 레시피는 정상적이지 않다. ,,,,,,,,,,,,,
,0,,당신의 눈은 그 글을 읽기를 거부한다. 당신은 감으로 요리를 진행하려 한다.,,,,,,,,,,,,,
,0,,얼핏 보기에 괜찮아 보이는 재료들을 팬에 올리고@ 무언가를 섞고@ 끓여낸다. ,,,,,,,,,,,,,
,0,,스토브에서 올라오는 김과 함께 고기에서 나는 근사한 냄새가 공기를 채운다. ,,,,,,,,,,,,,
,0,,얼마만에 맡아보는 정상적인 냄새인가! 당신은 당신의 요리에 점점 확신이 생긴다.,,,,,,,,,,,,,
,0,,당신을 끓여내는 냄새를 맡은 요리사는 인상을 찌푸린다.,,,,,,,,,,,,,
,9,,“..이상한 냄새가 난다..후우욱! 후욱”,,,,,,,,,,,,,
,0,,요리사는 냄새를 몰아내려는 듯 거칠게 숨을 내쉰다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,어지럽다..,1d6,desan,d3,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신이 끓여내는 냄새를 맡은 요리사는 군침을 삼킨다,,,,,,,,,,,,,
,9,,“…꿀꺽..훌륭한냄새..”,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
