Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,모든 것이 끝났다고 느낀 그 순간@ 요리사의 시선이 조리대에 떨어진다.,,,,,,,,,,,,,
,9,,“깔끔해야한다...후욱”,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,깔끔하게..,1d100,str,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 서둘러 주변을 치우기 시작한다. ,,,,,,,,,,,,,
,0,,피와 기름이 곳곳에 튀어 있어 아무리 닦아도 끝이 보이지 않는다. 하지만 당신은 쉴 틈도 없이 스폰지를 움켜쥐고 바닥에 엎드려 닦는다. ,,,,,,,,,,,,,
,0,,당신이 살아남기 위해서는 주방이 깔끔해야만 한다는 사실을 직감적으로 느낀다.,,,,,,,,,,,,,
,0,,청소를 하며 바닥에 떨어진 노폐물들과 굴러다니는 이빨들@ 뜯어져버린 머리카락들과 내장들을 마주한 당신은 토할 것 같은 기분이 든다.,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 서둘러 주변을 치우기 시작한다. ,,,,,,,,,,,,,
,0,,피와 기름이 곳곳에 튀어 있어 아무리 닦아도 끝이 보이지 않는다. 하지만 당신은 쉴 틈도 없이 스폰지를 움켜쥐고 바닥에 엎드려 닦는다. ,,,,,,,,,,,,,
,0,,당신이 살아남기 위해서는 주방이 깔끔해야만 한다는 사실을 직감적으로 느낀다.,,,,,,,,,,,,,
,0,,청소를 하며 바닥에 떨어진 노폐물들과 굴러다니는 이빨들@ 뜯어져버린 머리카락들과 내장들을 마주한 당신은 토할 것 같은 기분이 든다.,,,,,3,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,으.....,1d4,desan,d3,,,,
end,,,,,,,,,,,,,,,,
check3,0,,,,,,,,으.....,1d6,desan,d3,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 어지러운 정신을 붙잡으며 청소도구를 정리한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
