Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,인형들과 어떤 동물의 것인지 모를 알들@ 토끼 머리띠 등이 보인다. 기념품 코너인 것 같다.,,,,,,,,,,,,,
,0,,즐거웠던 호텔의 추억 오래 동안 간직해요! 라고 적힌 문구가 보인다.,,,,,,,,,,,,,
,0,,당신은 뭔가 살 수 있지 않을까 라고 생각하며 기념품들을 둘러본다.,,,,,,,,,,,,,8
,0,,그 중 호텔의 문양이 각인되어 있는 라이터도 있는 것이 보인다.,,,,,,,,,,,,,
,0,,당신은 호텔을 나가기 위해 당신의 이름이 적힌 특수 용지를 불태울 필요가 있음을 상기한다.,,,,,,,,,,,,,
,0,,당신은 라이터를 집어 든다. 라이터에는 가격표가 붙어있는데 다음과 같이 쓰여있다.,,,,,,,,,,,,,
,0,,-성대-,,,,,,,,,,,9,,
,0,,당신이 라이터를 집어 든 순간@ 목에 극심한 따가움이 느껴진다. ,,,,,,,,,,,,,
,0,,당신은 자신도 모르게 기침을 한다. 살짝의 피가 섞여 나오는 것 같다. ,,,,,,,,,,,,,
,0,,그리고@ 당신은 자신의 목소리가 나오지 않음을 알아챈다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 두려움에 휩싸인다.,1d6,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,라이터의 가격은 무거웠다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
