Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,병@ 상자@ 가죽 제품 및 마도서라고 적힌 책들이 보인다.,,,,,,,,,,,,,
,0,,마도서라고 적힌 책들은 당신의 흥미를 일으키기에 충분했다. ,,,,,,,,,,,,,
,0,,위험한 상황이지만@ 혹시 갖고 나간다면 당신 또한 어떠한 힘을 갖게 될 지도 모를 것이란 기대감이 든다.,,,,,,,,,,,,,
,0,,당신은 마도서가 가득 차 있는 책장들을 확인한다. 어딘지 모르게 묘한 느낌이 든다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,자세히 봐보자...,1d100,int,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 먼지 가득한 이 책장에 유난히 먼지가 없이 존재하고 있는 책을 발견한다. ,,,,,,,,,,,,,
,0,,당신이 그 책을 옮기자 뒤쪽에 키패드가 보인다. ,,,,,,,,,,,,,
,0,,어떤 비밀번호를 입력 해야하는 것 같다. ,,,,,,,,,,,,,
,0,,키패드를 살펴볼까?,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 마도서들을 살펴봐도 그 글씨를 읽을 수 없을 알게 된다. ,,,,,,,,,,,,,
,0,,당신은 조금 실망하며 돌아간다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,살펴본다,s1,,,,,,,,,,
,,,,,돌아간다,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,당신은 키패드에 비밀번호를 입력 해 본다.,-2,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s2,0,,당신은 알 수 없는 구조물에 관심을 끄기로 한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
