Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,엘레베이터 홀은 어두컴컴하고 엘레베이터에서 들어오는 불만이 자그마한 광원으로써의 역할을 하고있다.,,,,,,,,,,,,,
,0,,일전에 봤던 고급스럽고 안락했던 모습은 온다간데 보이지 않고 음산하고 무거운 공기가 당신을 옥죄인다. 당신은 일단 홀수층 엘레베이터를 타고 1층으로 가기 위해 그곳으로 향한다.,,,,,,,,,,,,,
,0,,당신은 바삐 걷는 중 이상함을 느낀다. 홀수층 엘레베이터는 이렇게 멀리 떨어져 있지 않았다. 당신은 주변을 돌아본다.  ,,,,,,,,,,,,,
,0,,복도에 장식되어있는 그림과 몇 번째 눈이 마주친 기분이 든다.,,,,,,,,,,,,,
,0,,당신은 어째서 인지 반대편으로 도달할 수 없다. 이 복도는 계속해서 당신을 잡아두려 하는 것 같다.,,,,,,,,,,,,,
,0,,당신은 식은땀이 당신의 등허리를 타고 흐르는 것을 느꼈다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,정신이 혼미해진다.,1d4,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은..,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,계속 전진한다.,s1,,,,,,,,,,
,,,,,짝수 층 엘레베이터 홀로 간다.,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,당신은 계속 직진하기로 한다. 계속 전진 하다 보면 언젠가는 뚫리지 않을까 하는 생각을 하며.,,,,,,,,,,,,,
,0,,몇 분 아니@ 몇 시간이 지났을까? 당신은 점점 몸이 무거워지고 메스꺼움이 올라오는 것을 느낀다. ,,,,,,,,,,,,,
,0,,옆에 항상 지나치던 인물의 그림은 점점 당신을 꿰뚫어 보는 것 같다. 저것이 저렇게 웃고 있던가? 입가도 점점 기괴하게 비틀리는 것 같다.,,,,,,,,,,,,,
,0,,당신은 서둘러 자리를 이동한다. 한 걸음 한 걸음이 점점 무거워진다. 몸에는 땀이 가득 흐르고@ 어지럽고 메스꺼운 느낌과 이명이 당신을 가득 채운다.,,,,,,,,,,,,,
,0,,당신이 뒤를 돌아봤을 때 당신의 발걸음에 비해 더욱 빠르게 통로가 늘어나는 것 같다.,,,,,,,,,,,,,
,0,,이에 당신은..,2,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select2,0,,,,계속 전진한다.,s3,,,,,,,,,,
,,,,,뒤로 돌아간다.,s4,,,,,,,,,,
end,,,,,,,,,,,,,,,,
