Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 복도 끝 편에서 무엇인가 움직인 것 같은 느낌을 받는다. 무엇인지는 모르겠지만 굉장히 많은 다리들이 움직이는 소리 같다.,,,,,,,,,,,,,
,0,,당신은 알 수 없는 움직임에 소름이 돋는다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신의 이성이 시험받는다.,1d4,desan,c1,,,,
end,,,,,,,,,,,,,,,,
c1,0,,소리가 난 곳에서 얼마 지나지 않아 한 사람이 빠르게 뛰어 나온다. 당신은 또 다른 손님을 보며 반갑게 그를 부른다. 그는 소리가 난 곳으로 얼굴을 들어 당신을 바라보았고@ 당신 또한 그를 바라보았다.,,,,,,,,,,,,,
,0,,그의 얼굴은 공포로 가득 질려있었으며 색은 파랗게 질려있었고 눈은 정신없이 흔들렸다.,,,,,,,,,,,,,
,0,,그가 당신을 보며 소리 지른다.,,,,,,,,,,,,,
,0,,“당장 도망쳐!!!!!”,,,,,,,,,,,,,
,0,,당신은 당황하며 무슨 일이 일어나는지 빠르게 이해하려 해본다. 하지만..대체 무엇으로부터 도망치란 말인가?,,,,,,,,,,,,,
,0,,당신의 의문은 조금 뒤에 해소되었다. 당신 쪽으로 빠르게 달려오던 손님의 뒤로 또 다른 사람의 손이 그의 목덜미를 잡은 것이었다. ,,,,,,,,,,,,,
,0,,그 손은 처음에는 손님의 목덜미를@ 그의 다리를 그의 팔을@ 그의 머리카락을 우악스럽게 쥐고 그를 코너쪽으로 끌어당기기 시작한다.,,,,,,,,,,,,,
,0,,이해 할 수 없는 현상에 당신은 정신을 잃을 것만 같다.,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,당신은 공포에 질린다.,1d6,desan,c2,,,,
end,,,,,,,,,,,,,,,,
c2,0,,“사..살려줘..제발 도와줘!!! 도와달라고!!!!!”,,,,,,,,,,,,,
,0,,그는 손을 바닥에 박은 채 끌려가지 않으려 있는 힘껏 저항하는 듯 하였지만 그 시도가 무색하게 그를 잡고 있는 손들은 너무나 쉽게 그를 끌고간다.,,,,,,,,,,,,,
,0,,얼마나 간절하였던 것인지@ 그의 손가락은 바닥에 갈린 채 핏자국이 그 궤적을 그릴 정도였는데 그럼에도 그는 저항할 수 없었다. 그의 신형은 순식간에 코너로 사라진다.,,,,,,,,,,,,,
,0,-6,모든 것은 순식간에 벌어진 일로@ 당신은 충격에 멍하니 바라보는 수 밖에 없었다.,,,,,,,,,,,,,
,0,,[뚜드드득-!],,,,,,,,,,,,,
,0,0,[으득-으드득],,,,,,,,,,,,,
,0,-4,“끄아아아아아아아아아아악!!!!!”,,,,,,,,,,,,,
,0,0,[킥킥킥..풉…푸하하하하하!!!],,,,,,,,,,,,,
,0,,상상할 수 조차 없는 피육의 파열음과 실시간으로 늘어나는 피 내음. 엄청난 고통에 몸부림 치는 한 남성의 외침. ,,,,,,,,,,,,,
,0,,그것보다도 더욱 소름이 돋는 것은 즐겁다는 듯이 광기 섞인 웃음을 뱉어내는 어떤 존재가 있다는 것이 당신의 몸을 더욱 굳게 만들었다.,,,,,,,,,,,,,
,0,,“컥…끄륵..”,,,,,,,,,,,,,
,0,,짧은 단말마와 함께 코너의 바닥에는 이전까지 살아 숨쉬던 한 사람의 피가 웅덩이를 이루며 고인다.,,,,,,,,,,,,,
,0,,뒤 이어 즐거운 듯한 콧노래가 들린다. 당신은 숨 쉬는 것조차 잊은 채로 가만히 서 있는다.,,,,,,,,,,,,,
,0,,당신은 토할 것 같은 기분이 든다.,,,,,3,,,,,,,,
end,,,,,,,,,,,,,,,,
check3,0,,,,,,,,당신은 정신을 다잡으려 한다.,1d100,san,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 방금 전의 존재가 사라졌는지 아니면 계속 그곳에 서 있는지 알기 위해 온 신경을 곤두세워 청력을 활성화 시킨다.,,,,,,,,,,,,,
,0,,어딘가 후련해보이는 흥얼거리는 소리가 점점 멀어진다.,,,,,,,,,,,,,
,0,,“…열어….안전합니다….킥…킥…….나오셔도….”,,,,,,,,,,,,,
