Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 비상구 계단으로 이동하기로 한다. ,,,,18,,,,,,,,,
,0,,조심스레 문을 열고 들어간 비상구에는 비상구의 등이 희미하게 빛을 발할 뿐@ 대부분은 어둠뒤에 그 모습이 희끗하게 보일 뿐이었다.,,,,,,,,,,,,,
,0,,당신은 더듬더듬 벽을 짚어가며 한 계단 한 계단씩 내려간다.,,,,,,,,,,,,,
,0,-5,비상구 계단에는 당신의 발걸음 소리가 울려 펴진다.,,,,,,,,,,,,,
,0,0,뚜벅... 뚜벅...,,,,,,,,,,,,,
,0,,하지만@ 어느 순간부터 이상한 소리가 겹쳐 들려온다. 발걸음 소리가 많아진 것 같기도 하고 누군가 이야기를 하는 것 같은 느낌이 든다.,,,,,,,,,,,,,
,0,,당신은..,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,위로 올라간다,s1,,,,,,,,,,
,,,,,가만히 있는다,s2,,,,,,,,,,
,,,,,아래로 내려간다,s3,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,당신은 불안한 전조들에 빠르게 위로 올라간다. 하지만 당신이 위로 올라가려 할 수록 당신은 그 결과에 도달하지 못한다. ,,,,,,,,,,,,,
,0,,발걸음 소리는 좀 더 선명해지고@ 즐거운 목소리로 하는 이야기는 또렷이 당신의 귀에 꽂힌다. ,,,,,,,,,,,,,
,0,,모든 소음들이 웅웅거리며 당신의 머리속 안을 가득채우고 당신을 괴롭히다가 종국에는 고요해진다.,,,,,,,,,,,,,
,0,,“안녕?”,,,,,,,,,,,,,
,0,,아. 당신은 친절한 목소리와는 맞지 않은 모습의 존재의 등장에 절망한다. 하나가 아니다. 그것들의 악의는 그것들의 가짜 웃음으로는 가릴 수 없을 정도였다.,,,,,,,,,,,,,
,0,,“안녕?안녕?안녕?안녕?안녕?안녕?안녕?안녕?안녕?”,,,,,,,,,,,,,
,0,,당신은 서서히 웃는다. 아 드디어 당신도 그들이 왜 웃는지 알게 되었다.,,,,,,,,,,,,,
,0,,안.녕.?,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
s2,0,,당신은 가만히 계단의 한 구석에서 이상한 전조 증상이 지나가길 기다린다.,,,,,,,,,,,,,
,0,,당신이 가만히 있자 당신의 등 뒤로 무엇인가 슥 하고 지나간 느낌을 받는다.,,,,,,,,,,,,,
,0,,“어디갔지? 어디갔지?”,,,,,,,,,,,,,
,0,,“어디로 갔어!”,,,,,,,,,,,,,
,0,,“같이 있자..”,,,,,,,,,,,,,
,0,,여러 목소리가 동시에 당신을 괴롭힌다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,어지러워....,1d6,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,웅성거림도 잠시 정적이 다시 계단을 맴돈다.,,,,5,,,,,,,,,
,0,,당신은 그것들이 다시 당신에게 관심을 가지기 전에 계단을 빠져나온다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s3,0,,당신은 전조 증상을 피해 빠르게 내려간다..,,,,,,,,,,,,,
,0,,당신은 내려가고 있다고 믿었지만@ 당신은 어느새 원래 출발했던 곳으로 돌아온다. 얼핏 아래를 보니 어둠을 형상화하여 몽글몽글한 무엇인가가 들끓고 있다.,,,,5,,,,,,,,,
,0,,당신은 기겁하여 비상구 문을 열고 재빨리 닫아 복도로 나와 계단에서 몇 발자국 떨어진다.,,,,,,,,,,,,,
,0,,비상구 문 아래로 어둠이 일렁인다. 꽉 닫긴 문의 고리는 덜컥거리고 문은 금방이라도 열릴 듯 하다.,,,,,,,,,,,,,
,0,,문 너머로 여러명의 인기척이 느껴진다.,,,,,,,,,,,,,
,0,,[쾅쾅쾅쾅쾅!!!],,,,,,,,,,,,,
,0,,"""어디갔어!!! 이리로 넘어와!!!!""",,,,,,,,,,,,,
,0,,미친듯이 쾅쾅거리는 문. 당신은 다리에 힘이 풀려 그 자리에 주저 앉고 만다.,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,이게...뭐야...,1d6,desan,d2,,,,
end,,,,,,,,,,,,,,,,
d2,0,,몇 초간 거세게 흔들리던 문은 당신이 반응이 없자 흥미가 사라진 듯 하다. 복도는 다시 고요를 되찾는다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
