Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,다양한 종류의 책들이 꽂혀진 책장이다.,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,책장을 살펴본다.,s1,,,,,,,,,,
,,,,,그만둔다.,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,당신은 책이 꽂혀있는 책장으로 향한다. 당신은 혹시 이러한 경우 쓸 수 있는 지식이 들어 있는 책이 있을까 살펴본다,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,자료조사,1d100,int,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,어딘가 쓸모 있어보이는 인간 원숭이도 할 수 있는 칵테일 주조법 책을 손에 넣는다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,어딘가 쓸모 있어보이는 인간 원숭이도 할 수 있는 칵테일 주조법 책을 손에 넣는다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,아무것도 찾을 수 없었다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s2,0,,당신은 다른곳을 살펴보기로 한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
