Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 다른 인간을 보며 반가움을 느낀다. 한 걸음에 다가가 말을 건다. 하지만@ 묘한 위화감이 당신을 휩쓴다.,,,,,,,,,,,,,
,0,,그것은 인간처럼 보이지만@ 인간이 아닌 것 같다. 당신은 불쾌한 느낌을 지우지 못한다. 그것은 이제 그 커다란 눈을 당신에게 고정하며 말을 건다.,,,,,,,,,,,,,
,2,,"""인간이니?""",,,,,,,,,,,,,
,0,,당신은 그쪽도 인간이 아니냐며 이야기를 꺼낸다. 그것은 섬뜩하게 웃는다.,,,,,,,,,,,,,
,2,,"""아아..나도 인간이지.. 킥킥..""",,,,,,,,,,,,,
,0,,그는@ 아니 그것은 소름 끼치게 웃는다. 당신은 돋아오른 소름을 애써 털어내며 그녀에게 혹시 끝이 보이지 않는 복도에 대해 묻는다.,,,,,,,,,,,,,
,2,,“난 거기 지나갈 수 있는 방법 아는데..나랑 같이 가면 갈 수 있을거야.”,,,,,,,,,,,,,
,2,,"""나랑 같이 가자. 여기서는 아무것도 할 수 없잖아? 나도@ 너도.""",,,,,,,,,,,,,
,0,,그것은 사용해 본 적 없는 근육을 사용하듯@ 온 얼굴에 있는 근육을 떨며 웃는 얼굴을 모방한다. 그리고는 재빨리 당신의 손목을 붙잡는다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 그에게 저항한다.,1d100,str,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 있는 힘껏 그의 손을 떼어낸다. 그리고는 그에게서 멀어진다.,,,,,,,,,,,,,
,0,,그것은 아쉬운 듯이 중얼거린다.,,,,,,,,,,,,,
,2,,“킥킥..들켰나? 아깝다..”,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 있는 힘껏 그의 손을 떼어낸다. 그리고는 그에게서 멀어진다.,,,,,,,,,,,,,
,0,,그것은 아쉬운 듯이 중얼거린다.,,,,,,,,,,,,,
,2,,“킥킥..들켰나? 아깝다..”,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,손님은 당신을 끌고 어둡고 끝이 보이지 않는 복도로 나선다. ,,,,15,,,,,,,,,
,0,,당신은 또 다시 당신을 옥죄는 묘한 느낌과 손목에 느껴지는 통증에 몸부림 친다. 그러나 그것은 아무렇지도 않다는 듯 당신의 저항에도 복도로 걸어 나선다.,,,,,,,,,,,,,
,2,,“빨리 가자. 지나가게 해준다니까?”,,,,,,,,,,,,,
,2,,“킥킥킥킥킥킥킥”,,,,,,,,,,,,,
,0,,그것은 미친듯이 웃으며 그저 앞을 보며 계속@ 계속 걸을 뿐이었다. 어두운 복도를 계속@ 영원히 순회한다.,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,당신의 이성이 시험에 오른다.,1d4,desan,d4,,,,
end,,,,,,,,,,,,,,,,
d4,0,,당신은 등골이 오싹해지는 기분이다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
