Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 조심스럽게 카페의 문을 열고 들어간다.,,,,,,,,,,,,,
,0,,문을 열고 보이는 카페의 풍경은 한창 손님에게 무언갈 만들어 주고 있는 마스터와 그 근처 바 테이블에 앉아있는 손님 그리고 책들이 꽂혀있는 책장 커피 테이블이 보인다.,,,,,,,,,,,,,
,0,,달그락 거리는 유리의 소리와 잔잔히 흐르는 재즈가 당신의 심신을 조금 안정되게 하는 듯 하다.,,,,,,,,,,,,,
,0,,가게를 살펴보던 중에 마스터가 당신에게 말을 건다.,,,,,,,,,,,,,
,0,,“손님 뒤에 계신 분께서는 함께 오신 분이십니까?”,,,,,,,,,,,,,
,0,,당신은 그 말에 황급히 뒤를 돌아본다. 당신의 뒤에는 아까 복도에서 봤던 그 손들의 주인이 당신의 바로 뒤에 서 있었다.,,,,,,,,,,,,,
,0,,“킥..킥킥…아니요아니요…”,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 온몸에 소름이 돋는다.,1d6,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,그 존재는 아쉽다는 듯이 혀를 한번 차고 서서히 어둠속으로 숨어 들어간다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
