Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 차오르는 갈증에 황급히 컵을 닦고 있는 마스터에게 달려가 음료를 주문한다.,,,,,,,,,,,,,
,1,,“어떤 음료를 찾으시나요?”,,,,,,,,,,,,,
,0,,당신은 갈증을 해소할 수 있는 것이라면 아무거나@ 라며 마스터에게 요구한다.,,,,,,,,,,,,,
,1,,“저런..갈증이 올라오셨군요! 그를 해소할 수 있는 음료가 있습니다. 잠시만 기다려 주시겠습니까?”,,,,,,,,,,,,,
,0,,마스터는 능숙하게 여러 음료들을 섞으며 당신을 위한 칵테일을 만든다.,,,,,,,,,,,,,
,0,,당신은 초조하게 책상을 두드린다. 자꾸만 머릿속에 책상 위 음료 생각이 든다. ,,,,,,,,,,,,,
,0,,마시고 싶다. 마시고 싶다. 마셔도 되지 않을까? 당신은 자꾸만 뒤를 돌아 커피 테이블 쪽을 바라본다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 유혹에 저항하려한다.,1d100,san,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,마스터는 근사한 음료 한잔을 당신에게 대접한다. ,,,,,,,,,,,,,
,0,,당신은 정신 없이 그 음료를 들이킨다. 벌컥 벌컥..,,,,,,,,,,,,,
,0,,몸 안에서 끓는 듯한 갈증은 서서히 가라앉는다..대체 뭐였던 것일까? 당신은 약간의 멍함을 느낀다. ,,,,,,,,,,,,,
,0,,이내 머리를 흔들고 정신을 가다듬으며 마스터에게 당신의 목적을 이야기한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,마스터는 근사한 음료 한잔을 당신에게 대접한다. ,,,,,,,,,,,,,
,0,,당신은 정신 없이 그 음료를 들이킨다. 벌컥 벌컥..,,,,,,,,,,,,,
,0,,몸 안에서 끓는 듯한 갈증은 서서히 가라앉는다..대체 뭐였던 것일까? 당신은 약간의 멍함을 느낀다. ,,,,,,,,,,,,,
,0,,이내 머리를 흔들고 정신을 가다듬으며 마스터에게 당신의 목적을 이야기한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 마스터가 음료를 만드는 시간을 버티지 못했다. 당신은 커피 테이블로 달려간다.,,,,,,,,,,,,,
,0,,당신은 누구의 것인지 모를 음료를 마신다. ,,,,,,,,,,,,,
,0,,그것은 달콤했고@ 새콤했으며@ 매콤했고@ 청량했으며@ 묵직했고@ 시원하면서@ 따듯했다. ,,,,,,,,,,,,,
,0,,당신은 곧 충만함이 당신의 안을 가득 채우는 것을 느낀다.,,,,,,,,,,,,,
,0,,그러다@ 당신은 당신의 시야가 점점 낮아지는 것을 느낀다. ,,,,,,,,,,,,,
,0,,어찌 된 일일까? 당신의 키가 작아지는 것일까? 당신은 당신의 몸을 살펴보고 큰 충격에 빠진다. ,,,,,,,,,,,,,
,0,,당신의 몸은 점점 녹아 내려간다. 다리는 이미 모두 녹아 내린 상태. 다음은 몸통 다음은 머리..곧 당신은 모두 녹아내린다.,,,,,,,,,,,,,
,0,,당신이 놓쳐버린 컵은 어느샌가 다시 테이블 위로 올라가 있다. ,,,,,,,,,,,,,
,0,,이내 조금 달그락 거리더니@ 액체가 되어버린 당신을 자신의 몸에 담는다. ,,,,,,,,,,,,,
,0,,마치@ 아무 일도 없었다는 듯이@ 테이블 위에는 음료 한잔이 올라가 있을 뿐이었다.,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
