Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,1,,당신은 바 테이블로 다가가 마스터에게 말을 건넨다.  ,,,,,,,,,,,,,
,0,,당신은 복도를 통과하는 방법에 대해 묻는다.,,,,,,,,,,,,,
,1,,마스터는 흥미롭게 당신의 이야기를 듣다가@ 통과 방법을 알려주는 데 필요한 특별한 레시피를 요구한다.,,,,,,,,,,,,,
,1,,하지만@ 당신은 아는 레시피가 없다. 마스터는 미소를 지으며 자신이 모르는 레시피는 없다고 말한다. 그러나 정보를 제공하는 데는 대가가 필요하다고 덧붙인다.,,,,,,,,,,,,,
,1,,그가 손을 뻗어 머리 위에 올려놓자@ 어딘가 엄청난 인력이 느껴지는 듯 하다. ,,,,,,,,,,,,,
,1,,어딘가 잃어버리면 안될 것을 잃어버리는 느낌과 함께 엄청난 탈력감이 몸을 감싼다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신이 잃으면 안될 무엇인가가 빠져나가는 느낌이 든다.,1d6,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,1,,마스터는 음료를 만들 수 있지만 현재 재료가 부족하다고 설명한다.,,,,,,,,,,,,,
,1,,필요한 것은 가장 깊은 곳의 물. 당신은 재료에 대한 정보를 얻었다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
