Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,테이블 위에  음료가 놓아져 있다. ,,,,,,,,,,,,,
,0,,당신은 문득 여태까지 오면서 물 한잔 마시지 않았다는 사실을 떠올린다. ,,,,,,,,,,,,,
,0,,급격하게 목이 마르는 듯한 느낌이 든다. 아니@ 음료가 당신을 부르는 듯 하다.,,,,,,,,,,,,,
,0,,어떻게 할까?,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 유혹에 저항한다.,1d100,san,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,아무리 그래도 누구의 것인지 모를@ 어떤 것으로 만들어졌을 지 모를 음료를 마실 순 없다. ,,,,,,,,,,,,,
,0,,당신은 음료에서 풍기는 어딘지 모를 오싹함에 서둘러 자리를 이동한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,아무리 그래도 누구의 것인지 모를@ 어떤 것으로 만들어졌을 지 모를 음료를 마실 순 없다. ,,,,,,,,,,,,,
,0,,당신은 그렇게 생각했을 터였다. 하지만 당신은 그 음료를 외면할 수 없었다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 누구의 것인지 모를 음료를 마신다. ,,,,,,,,,,,,,
,0,,그것은 달콤했고@ 새콤했으며@ 매콤했고@ 청량했으며@ 묵직했고@ 시원하면서@ 따듯했다. ,,,,,,,,,,,,,
,0,,당신은 곧 충만함이 당신의 안을 가득 채우는 것을 느낀다.,,,,,,,,,,,,,
,0,,그러다@ 당신은 당신의 시야가 점점 낮아지는 것을 느낀다. ,,,,,,,,,,,,,
,0,,어찌 된 일일까? 당신의 키가 작아지는 것일까? 당신은 당신의 몸을 살펴보고 큰 충격에 빠진다. ,,,,,,,,,,,,,
,0,,당신의 몸은 점점 녹아 내려간다. 다리는 이미 모두 녹아 내린 상태. 다음은 몸통 다음은 머리..곧 당신은 모두 녹아내린다.,,,,,,,,,,,,,
,0,,당신이 놓쳐버린 컵은 어느샌가 다시 테이블 위로 올라가 있다. ,,,,,,,,,,,,,
,0,,이내 조금 달그락 거리더니@ 액체가 되어버린 당신을 자신의 몸에 담는다. ,,,,,,,,,,,,,
,0,,마치@ 아무 일도 없었다는 듯이@ 테이블 위에는 음료 한잔이 올라가 있을 뿐이었다.,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
