Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,6,,당신은 정신이 혼미해 보이는 사람에게 다가간다. ,0,,,,,,,,,,,,
,6,,그녀는 이미 반 쯤 정신이 나가있는 듯 하여 당신이 원하는 대로 움직이기 편할 것 같다.,,,,,,,,,,,,,
,6,,어쩌면 이 사람이야 말로 저 존재가 원하는 음료일 수도 있다는 생각이 든다.,0,,,,,,,,,,,,
,6,,어떻게 할까?,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,당신은 그녀를 고위 손님의 앞까지 끌고 간다.,s1,,,,,,,,,,
,,,,,당신을 그녀를 가만히 내버려 둔다.,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,4,,“응? 뭐야. 딱히 이걸 말한 건 아니지만 뭐. 나는 지금 목이 마르니 말이야.”,,,,,,,,,,,,,
,0,,이윽고 그의 입이 쩍 하고 네 갈래로 벌어지며 혀가 채찍처럼 나와 그녀의 머리에 붙는다. ,,,,,,,,,,,,,
,0,,그의 혀는 날카로운 가시들이 있는 촉수와 같은 모습이다.,,,,,,,,,,,,,
,0,,꿀꺽 꿀꺽 하는 소리와 함께 점점 그녀의 몸이 쪼그라든다. ,,,,,,,,,,,,,
,0,,사람의 수분기가 모두 빨리는 듯한 모습이다. ,,,,,,,,,,,,,
,0,,당신은 죄악이 등골을 타고 흐르는 것을 느낀다.,,,,,,,,,,,,,
,4,,“나쁘진 않네. 피 음료가 더 맛있었겠지만 말이야! 고맙네 인간. 혹시 뭐 필요한 거 있으면 말만 하라고. ”,,,,,,,,,,,,,
,0,,당신은 그의 호의를 얻었다. ,,,,,,,,,,,,,
,0,,그는 당신을 위해서 한번 쯤은 어떤 부탁을 들어줄 의향이 있어 보인다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s2,0,,당신이 뒤를 돌아 다른 곳을 찾아보려 할 때@ 그가 힘겨운 목소리로 당신에게 말을 건다.,,,,,,,,,,,,,
,6,,"""이봐.. 이게 필요할거야..""",,,,,,,,,,,,,4
,0,,당신은 귀마개를 얻었다.,,,,,,,,,,,7,,
end,,,,,,,,,,,,,,,,
