Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,4,,“어 맞아 맞아 그거야 피 음료! 이름이 매리의 피였던 것 같아!”,,,,,,,,,,,,,
,0,,이윽고 그의 입이 쩍 하고 네 갈래로 벌어지며 혀가 채찍처럼 나와 음료의 잔에 붙는다.,,,,,,,,,,,,,
,0,,그의 혀는 날카로운 가시들이 있는 촉수와 같은 모습이었다. ,,,,,,,,,,,,,
,0,,꿀꺽 꿀꺽 하는 소리와 함께 순식간에 음료 내부에 있는 음료가 사라진다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 비현실적인 관경에 경악한다.,1d4,desan,d4,,,,
end,,,,,,,,,,,,,,,,
d4,4,,“이제 좀 살 것 같구만! 고맙네 인간. 혹시 뭐 필요한 거 있으면 말만 하라고.”,,,,,,,,,,,,,
,0,,당신은 그의 호의를 얻었다. ,,,,,,,,,,,,,
,0,,그는 당신을 위해서 한번 쯤은 어떤 부탁을 들어줄 의향이 있어 보인다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
