Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,(치직)...  곧이어 방송이 나온다.,0,,,,,,,,,,,,14
,0,,[곧이어 우리 호텔의 자랑! 세이렌씨의 노래가 있겠습니다!],0,,,,,,,,,,,,
,0,-9,스피커에서는 감미로운 여성의 노래 소리가 들려온다. 지나가던 손님들 모두 자리에서 행동을 멈추고 노래에 집중하는 듯 하다.,0,,,,,,,,,,,,
,0,,당신 또한 다르지 않았다. 들려오는 노랫소리에 당신은 살짝 혼미함을 느낀다.,0,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,정신이 혼미해진다.,1d100,san,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 노랫소리가 당신의 뇌를 뒤집어 놓는 듯한 느낌을 받는다. '아아 바다로@ 물로 가야만 해.' 그런 생각이 당신의 뇌를 가득 채우는 듯하다.,,,,,,,,,,,,,
,0,,당신은 고개를 좌우로 강하게 흔들며 충동에서 벗어나려 애쓴다. 그리고 노랫소리에서 달아나기 위해 손가락으로 귀를 강하게 막는다. ,,,,,,,,,,,,,
,0,,그럼에도@ 완전히 막히지는 않아 여전히 조금씩 당신의 뇌를 찌르는 듯 한 느낌이다.  ,,,,,,,,,,,,,
,0,0,하지만@ 귀를 막은 덕분에 충동에서는 벗어난 듯 하다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 노랫소리가 당신의 뇌를 뒤집어 놓는 듯한 느낌을 받는다. '아아 바다로@ 물로 가야만 해.' 그런 생각이 당신의 뇌를 가득 채우는 듯하다.,,,,,,,,,,,,,
,0,,당신은 고개를 좌우로 강하게 흔들며 충동에서 벗어나려 애쓴다. 그리고 노랫소리에서 달아나기 위해 손가락으로 귀를 강하게 막는다. ,,,,,,,,,,,,,
,0,0,그럼에도@ 완전히 막히지는 않아 여전히 조금씩 당신의 뇌를 찌르는 듯 한 느낌이다. ,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,당신의 이성이 시험에 오른다.,1d4,desan,d4,,,,
end,,,,,,,,,,,,,,,,
d4,0,,당신의 눈은 충혈되고 코에서는 피가 흐른다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 노랫소리가 당신의 뇌를 뒤집어 놓는 듯한 느낌을 받는다. 아아 바다로@ 물로 가야만 해. 그런 생각이 당신의 뇌를 가득 채우는 듯하다.,,,,,,,,,,,,,
,0,,당신은 뇌를 가득 채우는 생각에 저항하지 못한다. 그리고 필름이 끊기듯 정신을 잃는다.,,,,,,,,,,,,,
,0,0,몇 분@ 몇 시간이 지났을까. 당신은 황급히 눈을 뜬다. ,,,,,,,,,,,,,
,0,,당신은 당신의 발이 땅에 있지 않음을 깨닫는다. 팔을 허우적 거리는 것에도 저항감이 느껴진다. ,,,,,,,,,,,,,
,0,,당신은 어느새 빛이 한 점 들어오지 않는 물 속에 들어와 있음을 인지한다.,,,,15,,,,,,,,,
,0,,어딜 봐도 빛은 없다. ,,,,,,,,,,,,,
,0,,어둠@ 어둠@ 어둠@ 물@ 물@ 물..그러다 당신은 따스한 빛을 발견한다. ,,,,,,,,,,,,,
,0,,빛이다! ,,,,,,,,,,,,,
,0,,당신은 빛으로 헤엄쳐 간다. ,,,,,,,,,,,,,
,0,-8,하지만@ 당신을 반기는 것은 따스한 빛이 아니다. ,,,,,,,,,,,,,25
,0,,날카롭고@ 시렵고@ 온 몸이 덜덜 떨리는 수백@ 수천 개의 이빨. ,,,,,,,,,,,,,
,0,0,당신은 빛에 끌린 한 마리의 날파리였던 것이다.,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
