Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 평소 직원들이 상주하는 탓에 보지 못했던 안내데스크를 보고싶다는 생각을 한다. ,,,,,,,,,,,,,
,0,,당신은 안내데스크로 들어가 뭔가 챙길만한 것이 있는지 살펴본다.,,,,,,,,,,,,,
,0,,데스크에는 경성시대에 썼을 것 같은 다이얼 전화기@ 그리고 서류들과 필기구들이 보인다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 쓸만한 것이 더 있는지 확인해본다.,1d100,int,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 책상 언저리에 놓여져 있는 라이터를 찾았다.,,,,,,,,,,,,,8
,0,,꽤 유용해보여 당신은 라이터를 당신의 품 속에 잘 챙겨둔다.,,,,,,,,,,,9,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 책상 언저리에 놓여져 있는 라이터를 찾았다. ,,,,,,,,,,,,,8
,0,,꽤 유용해보여 당신은 라이터를 당신의 품 속에 잘 챙겨둔다.,,,,,,,,,,,9,,
,0,,또한 당신은 직원이 써 놓은 듯한 메모를 발견한다. 메모에는 다음과 같이 써져있다.,,,,,,,,,,,,,
,0,,[B2층에서 또 그 손님분께서 폭주 중이셔. 손님은 어두운걸 좋아하셔. 그렇다고 광원 없이 갔다간 손님의 간식거리가 되고 말거야. 빠르게 움직여서 카지노를 정상화 해야만 해.],,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,딱히 특별할 것은 없어 보인다. 당신은 아무것도 찾지 못한다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
