Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,손님들의 것으로 보이는 옷가지들과 갖가지 잡동사니들로 산을 이루고 있다.,,,,,,,,,,,,,
,0,,당신은 쓸만한 것이 있나 한번 찾아보기로 한다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 짐을 뒤져본다.,1d100,luk,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 짐무더기 사이에서 솟아있는 무엇인가를 발견한다. ,,,,,,,,,,,,,
,0,,그것은 손이다.,,,,,,,,,,,,,
,0,,손에는 고무 재질의 장갑이 껴져 있다.,,,,,,,,,,,,,
,0,,어째서 짐 사이에 손이 껴있는지 모르겠지만@ 장갑을 얻을 수 있을 것 같다. ,,,,,,,,,,,,,
,0,,당신은 손을 뻗어 장갑을 벗겨 품속에 챙긴다.,,,,,,,,,,,,,
,0,,그 때@ 가만히 놓여져 있던 손이 당신을 움겨잡는다.,,,,,,,,,,,,,
,0,,당신은 경악하며 손에서 벗어나려 허우적거린다.,,,,,3,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 짐무더기 사이에서 솟아있는 무엇인가를 발견한다. 그것은 손이다. 손에는 고무 재질의 장갑이 껴져 있다.,,,,,,,,,,,,,
,0,,어째서 짐 사이에 손이 껴있는지 모르겠지만@ 장갑을 얻을 수 있을 것 같다. 당신은 손을 뻡어 장갑을 벗겨 품속에 챙긴다.,,,,,,,,,,,,,
,0,,그 때@ 가만히 놓여져 있던 손이 당신을 움겨잡는다. ,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,당신은 예상치 못한 상황에 이성을 잃는다.,1d4,desan,d4,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 짐무더기를 뒤져보았지만@ 너무 많은 양의 짐이 모여있는 탓에 쓸모있는 물건을 찾기란 요원해보인다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d4,0,,당신은 경악하며 손에서 벗어나려 허우적거린다. 얼마간 발버둥 친 끝에 당신은 손에게서 빠져 나올 수 있었다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
check3,0,,,,,,,,당신은 예상치 못한 상황에 이성을 잃는다.,1d4,desan,d5,,,,
end,,,,,,,,,,,,,,,,
d5,0,,얼마간 발버둥 친 끝에 당신은 손에게서 빠져 나오며 짐 더미 위에 엎어진다.,,,,,,,,,,,,,
,0,,엎어진 당신의 눈 앞에 카드처럼 보이는 것이 보인다.,,,,,,,,,,,,,18
,0,,직원의 출입 카드인 것 같다.,,,,,,,,,,,,,
,0,,당신은 이것 또한 품속에 넣어둔다.,,,,,,,,,,,13,,
end,,,,,,,,,,,,,,,,
