Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,불이 돌아온 안내데스크에는 어느새 다시 직원들이 돌아와 있다. 그들은 뭔가 분주히 전화를 받고 있었으며 바빠 보인다.,,,,,,,,,,,,,
,0,,당신은 그들에게 다가가@ 혹시 호텔을 나갈 수 있는 방법에 대해 알고 있냐며 정중하게 묻는다. ,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
d1,0,,정선없이 일을 하고 있는 와중에도 그들은 착실히 당신의 말에 답해준다.,,,,,,,,,,,,,
,3,,[호텔..은…주인분께…허가받지 않으면…나가실 수 없습니다..],,,,,,,,,,,,,
,3,,[부디..주인분께..체크아웃을…받으시고..퇴실하여 주시기..바랍니다..],,,,,,,,,,,,,
,0,,당신은 호텔의 주인이 어디 있는지 물어본다. ,,,,,,,,,,,,,
,0,,직원들은 고개를 절레절레 흔들며 답한다.,,,,,,,,,,,,,
,3,,[주인님의..위치는…저희도..알기 어렵습니다..],,,,,,,,,,,,,
,0,,당신은 실망하며 안내데스크를 떠난다. ,,,,,,,,,,,,,
,0,,그 때@ 안내데스크에 전화가 걸려온다.,,,,,,,,,,,,,
,0,,얼핏 듣기로 주인님이라는 말이 나온 것 같다.,,,,,,,,,,,,,
,3,,[전기가…카지노…예..손님들…],,,,,,,,,,,,,
,3,,[연회장에..손님들….스위트룸..],,,,,,,,,,,,,
,0,,정확히 들리지는 않는다. 당신은 연회장과 스위트룸이라는 단어를 들었다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 조심스럽게 그들에게 말을 걸어본다.,1d100,luk,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신의 말은 그들에게 닿지 못한 것 같다.,,,,,,,,,,,,,
,0,,당신은 실망하며 안내데스크를 떠난다. ,,,,,,,,,,,,,
,0,,그 때@ 안내데스크에 전화가 걸려온다.,,,,,,,,,,,,,
,0,,얼핏 듣기로 주인님이라는 말이 나온 것 같다.,,,,,,,,,,,,,
,0,,[연회장에...],,,,,,,,,,,,,
,0,,정확히는 들리지 않는다. 당신은 연회장이라는 단어를 들었다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신의 말은 그들에게 닿지 못한 것 같다.,,,,,,,,,,,,,
,0,,그들은 분주히 일을 할 뿐 당신에게 관심을 가질 여유가 없어 보인다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
