Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,포커 존에는 손님들이 카드로 포커나 블랙잭 따위를 플레이하는 중이다. ,,,,,,,,,,,,,
,0,,손님들은 자신의 손패를 확인하며 그르렁거리기도@ 히죽히죽 웃기도 하며 게임에 열중하는 모습이다.,,,,,,,,,,,,,
,0,,이곳 저곳을 살펴보다 보니@ 빈 자리가 있는 포커 존이 보인다.,,,,,,,,,,,,,
,0,,그 포커존은 특이한 분위기를 가지고 있었는데@ 참여한 손님들과 딜러 모두 의욕이 하나도 없는 모습이었기 때문이다. ,,,,,,,,,,,,,
,0,,이런 곳이라면 당신이라도 한 몫 챙길 수 있지 않을까?,,,,,,,,,,,,,
,0,,딜러가 카드를 섞으며 룰에 대해 설명한다.,,,,,,,,,,,,,
,0,,“저희 게임은 이번 연회를 위한 스페셜 게임입니다. 게임 이름은 ‘만찬의 밤’이라고 합니다.”,,,,,,,,,,,,,
,0,,"""게임에 참가하시겠습니까?""",1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,네,s1,,,,,,,,,,
,,,,,아니오,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,당신은 테이블에 앉아 당신의 행운을 시험해보려 한다. ,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,게임을 진행한다,1d100,poker,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 게임을 마친 후 포커테이블을 떠난다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s2,0,,당신은 도박에 대한 욕망을 억제하고 포커테이블에서 눈길을 돌렸다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
