Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 교환소로 발걸음을 옮겼다. ,,,,,,,,,,,,,
,0,,카지노 교환소는 화려한 현관을 가진 건물로@ 외부는 반짝이는 강철이 반사되며@ 대형 로고와 빛나는 간판으로 장식되어 있다.,,,,,,,,,,,,,
,0,,당신이 그곳에 가까이 가자 칸막이 유리 너머로 “무엇을 교환해 드릴까요?” 라며 긁는 듯한 목소리가 들려온다. ,,,,,,,,,,,,,
,0,,당신이 칸막이 유리 너머로 누가 이야기를 하는지 관심을 가지며 보려 하지만@ 신기하게도 너머는 보이지 않는다.,,,,,,,,,,,,,
,0,,교환소의 한편에는 교환할 수 있는 항목에 대한 리스트가 적혀있다.,,,,,,,,,,,,,
,0,,무엇을 할까?,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,리스트를 본다,s1,,,,,,,,,,
,,,,,교환원에게 말을건다.,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,[List] 초월의 의지 - 칩30개/ 메리 30년산 - 칩20개/ . . . 연회장 입장권 - 칩 100개,,,,,,,,,,,,,
,0,,잠깐@ 아래에 무엇인가 적혀있다,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,확인한다,1d100,int,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,단@ 칩은 인간의 신체로 대체할 수 있습니다.,,,,,,,,,,,,,
,0,,칩 30개 = (다리 하나@ 손가락 15개) 칩 20개 = (혀 한 개@ 심장 하나) 칩 100개 = (다리 두 개@ 팔 두 개@ 뇌 한 개@ 심장 하나@ 눈알 한 짝),,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,단@ 칩은 인간의 신체로 대체할 수 있습니다.,,,,,,,,,,,,,
,0,,칩 30개 = (다리 하나@ 손가락 15개) 칩 20개 = (혀 한 개@ 심장 하나) 칩 100개 = (다리 두 개@ 팔 두 개@ 뇌 한 개@ 심장 하나@ 눈알 한 짝),,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 아무것도 찾지 못하였다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s2,0,,당신은 망설임 없이 교환원에게 연회장 입장권을 요구한다.,,,,,,,,,,,,,
,0,,“연회장 입장권 교환을 위해 비용을 지불해 주십시오@ 손님. ”,,,,,,,,,,,,,
,0,,하지만 당신은 지불할 수단이 존재하지 않았다. ,,,,,,,,,,,,,
,0,,딩신이 그대로 돌아가려는 찰 나.,,,,,,,,,,,,,
,0,,“다리 두 개@ 팔 두 개@ 뇌 한개@ 심장 하나@ 눈알 한 짝. 확인되었습니다.”,,,,,,,,,,,,,
,0,,그 음성은 조금 기쁜 듯이 말한다.,,,,,,,,,,,,,
,0,,확인되었다니? 뒤 이어 나온 말들은 무엇을 암시하는 것인가. ,,,,,,,,,,,,,
,0,-11,당신은 불안한 느낌이 든다. ,,,,,,,,,,,,,23
,0,0,곧이어 가림막 아래 뚫린 구멍에서 무엇인가가 빠져나와 당신의 몸을 휘감았다. ,,,,,,,,,,,,,
,0,,그것은 너무나도 빨라@ 당신이 반응할 수 없었다. ,,,,,,,,,,,,,
,0,-6,마지막으로 당신이 알 수 있었던 것은 사지가 분리되었다는 것@ 그리고 그 조차도 곧이어 볼 수 없게 되었다는 것이었다.,,,,,,,,,,,,,
,0,0,교환소는 몇 차례 씹는 듯한 으적 으득 소리를 내고는@ 만족했는지 그르릉 소리를 낸다.,,,,,,,,,,,,,
,0,,“즐거운 시간 되셨길 바랍니다.”,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,인간의 신체...?!,1d4,desan,d4,,,,
end,,,,,,,,,,,,,,,,
check3,0,,,,,,,,인간의 신체...?!,1d6,desan,d4,,,,
end,,,,,,,,,,,,,,,,
d4,0,,당신은 교환소에서 느껴지는 왜인지 모를 살기에 몸을 쓸어 내린다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
