Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신도 칩을 걸고 룰렛에 참가할 수 있다. 게임에 참가하시겠습니까?,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,네,s1,,,,,,,,,,
,,,,,아니오,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,당신은 칩을 걸어 당신의 운을 확인해본다. ,,,,,,,,,,,,,
,0,,룰렛 기계가 촤르륵 돌아가고 룰렛판에는 사람 신체 기관의 아이콘이 돌아간다..,,,,,,,,,,,,,
,0,,손@ 눈@ 이빨@ 발…,,,,,,,,,,,,,
,0,,여러 아이콘이 돌아가다가 맨 앞부터 하나씩 멈추기 시작한다.,,,,,,,,,,,,,
,0,,손. 손. 그리고… [틱!],,,,,,,,,,,,,
,0,,마지막 하나가 이상한 곳에서 멈춘다. 정확히 발과 눈 사이 흰색 눈금.,,,,,,,,,,,,,
,0,,당신은 주변의 눈치를 쓱 살핀다. 모두 각자의 룰렛 머신에 집중하는 분위기다.,,,,,,,,,,,,,
,0,,당신은 이 고장난 고물에게 한 방 먹여주고자 한다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 기계를 향해 주먹질한다.,1d100,str,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,[깡!!],,,,,,,,,,,,,
,0,,청아하고 맑은 소리와 함께 룰렛의 아이콘이 재작동하기 시작한다. 모든 아이콘이 다시 돌아간다. ,,,,,,,,,,,,,
,0,,좀 더 빠르게@ 더 빠르게 돌아가다가 어느 순간 [피슈우우..] 소리와 함께 꺼진다.,,,,,,,,,,,,,
,0,,꺼짐과 동시에 룰렛은 전리품이라도 내보내듯 칩 배출구에서 칩들을 촤르르 쏟아낸다.,,,,,,,,,,,,,
,0,,당신은 빠르게 칩들을 챙기고 자리를 떠난다.,,,,,,,,,,,-3,,21
,0,,[칩 20개를 획득하였다],,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,[깡!!],,,,,,,,,,,,,
,0,,청아하고 맑은 소리와 함께 룰렛의 아이콘이 재작동하기 시작한다. 모든 아이콘이 다시 돌아간다. ,,,,,,,,,,,,,
,0,,좀 더 빠르게@ 더 빠르게 돌아가다가 어느 순간 [피슈우우..] 소리와 함께 꺼진다.,,,,,,,,,,,,,
,0,,꺼짐과 동시에 룰렛은 전리품이라도 내보내듯 칩 배출구에서 칩들을 촤르르 쏟아낸다.,,,,,,,,,,,,,
,0,,당신은 빠르게 칩들을 챙기고 자리를 떠난다.,,,,,,,,,,,-1,,19
,0,,[칩 10개를 획득하였다],,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,[틱!],,,,,,,,,,,,,
,0,,당신의 발길질은 형편 없이 룰렛머신에게 막히고 만다. ,,,,,,,,,,,,,
,0,,당신은 찔끔 나오는 눈물과 통증을 이를 꽉 물며 참은 채 절뚝이며 자리를 벗어난다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s2,0,,당신은 도박에 대한 욕망을 억제하고 룰렛기계에서 눈길을 돌렸다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
