Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,룰렛 존은 눈부시게 밝은 조명 아래에 위치하며@ 환호와 기대감이 넘치는 분위기 속에서 게임이 벌어진다.,,,,,,,,,,,,,
,0,,딜러의 손끝에서 회전하는 룰렛 휠의 돌출된 숫자들이 반짝이며@ 베팅하는 참여자들의 설렘과 긴장이 공존한다.,,,,,,,,,,,,,
,0,,손님들은 이미 자신의 칩을 걸고 그곳에 몰입한 모양이다.,,,,,,,,,,,,,
,0,,모두가 열광의 도가니에 휩싸여 있는 동안 당신은 바닥에 무엇인가 반짝이는 것을 발견한다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 허리를 숙여 확인해본다.,1d100,luk,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 앞 뒤가 똑같은 동전을 발견했다. ,,,,,,,,,,,13,,3
,0,,이런게 왜 존재하는지는 모르겠지만@ 당신은 일단 동전을 잘 챙겨둔다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 앞 뒤가 똑같은 동전을 발견했다. ,,,,,,,,,,,13,,3
,0,,이런게 왜 존재하는지는 모르겠지만@ 당신은 일단 동전을 잘 챙겨둔다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,빛이 반짝인 것을 잘못 본 모양이다. 바닥에는 아무것도 존재하지 않았다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
