Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,한 직원이 다가와 당신을 툭툭 두드린다. ,,,,,,,,,,,,,
,0,,당신은 그 직원을 보며 기시감을 느낀다. 어디선가 많이 본 듯한 느낌이다.,,,,,,,,,,,,,
,0,,그는 말 없이 당신을 향해 달달한 것을 건낸다. ,,,,,,,,,,,,,
,0,,당신은 어리둥절 해 하면서도 감사를 표하며 그것을 챙긴다. 초콜릿인 것 같다.,,,,,,,,,,,,,
,0,,당신이 달달한 것에 정신이 팔린 사이@ 직원은 어느샌가 사라져 있다. 뭐였던 것일까?,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,다시 생각해본다,1d100,int,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신과 방금 전 직원의 체형@ 체격따위가 당신과 닮음을 느낀다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,워낙 이상한 일을 많이 겪었다 보니 아무것도 아니겠거니 하며 넘어간다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,워낙 이상한 일을 많이 겪었다 보니 아무것도 아니겠거니 하며 넘어간다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
