Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,카지노의 한편엔 카지노를 더욱 즐겁게 즐기기 위한 드링크를 제공하는 칵테일 바가 존재했다. ,,,,,,,,,,,,,
,0,,당신은 많은 손님들이 거나하게 취한 상태로 즐거운 듯한 소리를 내고 있는 것을 목격했다.,,,,,,,,,,,,,
,0,,자세히 보니 그들의 주머니에 칩들이 보인다. ,,,,,,,,,,,,,
,0,,지금 상태라면 그들에게서 칩을 몰래 빌려올 수 있을 것 같다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,소매치기..?,1d100,dex,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 취객들 사이로 슬쩍 들어가 당신이 목표한 칩을 몇 개 들고 나오는데 성공한다.,,,,,,,,,,,-2,,20
,0,,[칩 15개를 획득하였다],,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 취객들 사이로 슬쩍 들어가 당신이 목표한 칩을 몇 개 들고 나오는데 성공한다.,,,,,,,,,,,-1,,19
,0,,[칩 10개를 획득하였다],,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신은 너무 긴장한 나머지 취객들과 부딪히고 만다. ,,,,,,,,,,,,,
,0,,당신은 황급히 그들의 눈치를 살폈으나 그들은 개의치 않은 모양이다. ,,,,,,,,,,,,,
,0,,당신은 서둘러 자리를 빠져 나온다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
