Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신이 연회장 앞으로 가자@ 그곳에는 연회장에 입장하는 고위손님들이 줄을 서 하나씩 입장하는 모습이 보인다. 당신은 자연스럽게 그 대열에 합류한다.,,,,,,,,,,,,,
,0,,곧이어 당신의 차례가 온다. 입장을 도와주는 직원은 말 없이 손을 내민다.,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,하이파이브를 한다.,s1,,,,,,,,,,
,,,,,손을 잡고 악수를 한다.,s1,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,0,,직원은 그게 아니라는 듯 품 안을 뒤져 티켓을 가리킨다. ,,,,,,,,,,,,,
,0,,당신은 티켓이 필요함을 알게 되었지만@ 그것이 어디에서 구할 수 있을지는 모른다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 티켓을 어디서 얻을 수 있는지 질문한다.,1d100,int,d1,,,,
,,,,,,,,,,,,d2,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d1,0,,[현재 연회장@은 예약@하신@분들께 티켓을 미리@발부한@ 상태이고@ 뒤늦게@ 참가하실@ 손님께서는@ 카지노에@서@ 위닝@프라이즈로@ 획득하실 수@ 있습니@다.],,,,,,,,,,,,,
,0,,당신은 직원에게 살포시 감사를 전한 뒤 대열을 이탈하여 엘레베이터로 돌아간다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,[현재 연회장@은 예약@하신@분들께 티켓을 미리@발부한@ 상태이고@ 뒤늦게@ 참가하실@ 손님께서는@ 카지노에@서@ 위닝@프라이즈로@ 획득하실 수@ 있습니@다.],,,,,,,,,,,,,
,0,,당신은 직원에게 살포시 감사를 전한 뒤 대열을 이탈하여 엘레베이터로 돌아간다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,“앞에 비켜!!!”,,,,,,,,,,,,,
,0,,당신은 직원의 말을 듣기도 전에 뒤의 손님에 의해 줄에서 이탈하고 만다. 당신은 아무런 정보도 얻지 못했다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
