Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,단상은 여러 악기들을 분주하게 연주하고 있는 연미복을 입은 직원들이 연회를 위한 재즈를 연주하고 있다.,,,,,,,,,,,,,
,0,,주변에 있는 고위 손님들 역시 음악을 즐기고 있는 모습이다. ,,,,,,,,,,,,,
,0,,그들은 행복해보이는 웃음을 지으며 핑거푸드를 들고 음악을 감상한다.,,,,,,,,,,,,,
,0,,당신은 오랜만에 듣는 감미로운 선율에 눈을 감고 잠시 음악을 즐긴다. ,,,,,,,,,,,,,
,0,,그것도 잠시@ 당신의 귀에 무언가 이상한 소리가 잡힌다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 귀를 기울여본다.,1d100,str,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 감미로운 선율 사이에서 끔찍한 소리를 듣는다. ,,,,,,,,,,,,,
,0,,그것은 누군가의 비명소리며 살려달라는 애원의 목소리이자@ 말 해선 안되는 것을 추앙하는 신음이다.,,,,,,,,,,,,,
,0,,그것은 개미의 발 소리처럼 작은 소리였다가@ 곧 거인의 발걸음과 같이 큰 소리로 당신의 머리 안을 가득 채운다. ,,,,,,,,,,,,,
,0,,당신은 어지럽고@ 울렁거리고@ 시야가 빨개지는 느낌을 받는다.,,,,,,,,,,,,,
,0,,[삐이이??],,,,,,,,,,,,,
,0,,이명이 들린다. 당신의 심상에 보이면 안 될 것이 들어온다.,,,,,2,,,,,,,,
end,,,,,,,,,,,,,,,,
check2,0,,,,,,,,당신은 참을 수 없는 어지러움을 느낀다.,1d100,san,d4,,,,
,,,,,,,,,,,,d3,,,,
,,,,,,,,,,,,d3,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 감미로운 선율 사이에서 미약한 비명소리 같은 것을 들은 기분이 든다. ,,,,,,,,,,,,,
,0,,왠지 모를 오싹함에 당신은 슬그머니 단상을 뒤로 하며 홀로 돌아간다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d3,0,,당신의 머리속에 선율이 가득찬다.,,,,,3,,,,,,,,
end,,,,,,,,,,,,,,,,
d4,0,,당신은 서둘러 비틀거리는 몸을 붙잡고 귀를 막으며 선율에서 멀어진다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
check3,0,,,,,,,,당신은 정신이 혼미해지는 것을 느낀다.,1d6,desan,d4,,,,
end,,,,,,,,,,,,,,,,
