Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 연회를 위한 음식 서빙과 깔끔한 연회장의 모습 뒤엔 직원들의 재빠른 행동이 뒷받침 되어 있음을 보게 된다. ,,,,,,,,,,,,,
,0,,그들은 자신의 할 일이 끝난 후 항상 한 곳으로 가는 듯 하였는데@ 그곳은 연회장의 기둥 뒷 쪽@ 손님들은 관심 가지지 않을 무대의 뒷 편 이었다.,,,,,,,,,,,,,
,0,,당신은 호기심에 직원들을 뒤쫓아 가본다. ,,,,,,,,,,,,,
,0,-13,당신이 들여다 본 커튼 뒤 모습은 여느 영화에서 보았던 호텔과 다르지 않은 것 같아 보였다.,,,,,,,,,,,,,
,0,,쉴 틈 없이 음식을 나르는 직원 유니폼을 입은 직원들과@ 그들을 지휘하는 양복 입은 매니저가 보인다. ,,,,,,,,,,,,,
,0,,매니저는 소리를 고래고래 지르며 직원들을 지휘하는 듯 보인다.,,,,,,,,,,,,,
,0,0,[…빠르게 움직이도록!],,,,,,,,,,,,,
,0,,[거기 너! 3번 테이블에 음료 어서 가지 못해?],,,,,,,,,,,,,
,0,,단상 위의 지휘관 처럼 일사분란하게 현장을 지휘하던 매니저는 주변을 한번 둘러보더니 비밀스럽게도 옆에 있는 직원과 대화를 나누기 시작했다.,,,,,,,,,,,,,
,0,,[..그러니..],,,,,,,,,,,,,
,0,,[..그렇단..],,,,,,,,,,,,,
,0,,들릴 듯 들리지 않는 그들이 대화에 당신은 애가 탄다. ,,,,,,,,,,,,,
,0,,조금만 더 가까이 가면 이야기가 들릴 지 모른다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,뭐라고 하는거지?,1d100,dex,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 바쁘게 움직이는 직원들 사이로 몰래 침투하여 자연스레 그들이 사이에 녹아든다.,,,,,,,,,,,,,
,0,,그리고 귀를 활짝 열어두자 매니저가 말을 나누는 소리가 들린다.,,,,,,,,,,,,,
,0,,[예..단단히 일러두셨습니다..],,,,,,,,,,,,,
,0,,[그 분이 연회에 참석하지 않으신다고..?],,,,,,,,,,,,,
,0,,[이런..주인님이 썩 좋아하시지 않으시겠는걸],,,,,,,,,,,,,
,0,,[그래도 연회 만찬은 가져다 드리도록. 999호 스위트 룸으로 가는 것이니 소음에 주의하도록],,,,,,,,,,,,,
,0,,[예 알겠습니다.],,,,,,,,,,,,,
,0,,[..실례합니다?],,,,,,,,,,,,,
,0,,당신은 귀를 열어 대화에 집중한 나머지 매니저가 당신의 존재를 눈치 챈 것을 인지하지 못했다. 매니저는 분명히 당신을 향해 말을 걸고 있었다.,,,,,,,,,,,,,
,0,,"""손님. 죄송하지만 이곳은 직원들만 출입이 되는 공간입니다. 만약 필요한게 있으시면 연회장에서 직원을 불러주시기 바랍니다.""",,,,,,,,,,,,,
,0,,당신은 그대로 연회장으로 떠밀려 나온다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 자연스레 직원들 사이에 섞여 들어가려 한다. 하지만 누군가가 흘린 음료에 삐끗해 버린 당신은 우당탕 소리를 내며 바닥에 엎어진다. ,,,,,,,,,,,,,
,0,,갑작스런 외부인의 등장에 모두가 행동을 멈추고 당신을 바라본다. 이내 매니저가 당신을 향해 말한다.,,,,,,,,,,,,,
,0,,"""손님. 죄송하지만 이곳은 직원들만 출입이 되는 공간입니다. 만약 필요한게 있으시면 연회장에서 직원을 불러주시기 바랍니다.""",,,,,,,,,,,,,
,0,,당신은 그대로 연회장으로 떠밀려 나온다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
