Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신을 향한 시선이 더욱 강렬해진다. ,,,,,,,,,,,,,
,0,,이윽고@ 누군가가 당신을 향해 다가온다. 확인해보니 직원들이다. ,,,,,,,,,,,,,
,0,,당신의 행동이 그들의 시선을 끈 모양이다.,,,,,,,,,,,,,
,0,,그들의 중심에 선 매니저가 당신을 향해 말을 건다.,,,,,,,,,,,,,
,0,,“손님. 실례지만 잠시 조사에 협조해 주실 수 있을까요?”,,,,,,,,,,,,,
,0,,말투는 정중했지만@ 그 눈빛은 당신을 수상하게 여기는 듯 했다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,당신은 최대한 말을 고르며 그를 설득한다.,1d100,int,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,당신은 화려한 언변으로 당신을 변호한다.,,,,,,,,,,,,,
,0,,당신의 말에 그들의 의심이 가신듯 이전의 태도는 찾아볼 수 없었다.,,,,,,,,,,,,,
,0,,“실례했습니다. 좋은 시간 되시길.”,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 화려한 언변으로 당신을 변호한다. 하지만 그들을 설득할 만큼 깊지는 못했다.,,,,,,,,,,,,,
,0,,“식재료가 제 발로 걸어들어왔군.”,,,,,,,,,,,,,
,0,,당신은 수많은 직원들의 손에 옴짝달싹 못한 채 좁디 좁은 식품 엘레베이터에 쑤셔 박힌다. ,,,,,,,,,,,,,
,0,,당신의 반항은 그들에게 씨알도 먹히지 않는 모양이다.,,,,,,,,,,,,,
,0,,“3층으로 보내.”,,,,,,,,,,,,,
,0,-7,그 말과 함께 당신은 움직인다.,,,,15,,,,,,,,,
,0,,[위이이잉],,,,,,,,,,,,,
,0,0,[띵],,,,,,,,,,,,,
,0,,작은 식품 엘레베이터의 문이 열리자 마자 당신은 그 밖으로 굴러 떨어진다.,,,,,,,,,,,,28,
end,,,,,,,,,,,,,,,,
