Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 체크 아웃과 호텔 주인에 대해 물어보기 위해 주변에 웃으며 대화를 나누고 있는 고위 손님들 사이에 다가간다. ,,,,,,,,,,,,,
,0,,그들에게 가까이 다가가자 어떤 얘기를 나누는지 들린다.,,,,,,,,,,,,,
,10,,“킁! 그러니까 아시아 푸드가 양은 적지만 진짜 별미라니까?”,,,,,,,,,,,,,
,11,,“….나는 아메리카 대륙 쪽 푸드가 양도 많고 다양하고 기름지고 맛있던걸?”,,,,,,,,,,,,,
,12,,“난 아직까지 아프리카 푸드를 먹어본 적이 싯.. 없단 말이지. 과연 소문대로 탄 맛이 날까?”,,,,,,,,,,,,,
,0,,음식..얘기인가? 당신은 왠지 모를 위화감을 무시하고 그들에게 말을 건다.,,,,,,,,,,,,,
,0,,“저기 신사분들?”,,,,,,,,,,,,,
,10,,“오@ 이것 좀 봐라. 멋진 인간 거죽이잖아? 방금 먹은 듯이 신선하고 깔끔해! 나 얼마 전에 이거랑 비슷한 거죽 본 적 있단 말이지?”,,,,,,,,,,,,,
,11,,“…심지어 주름 진 부분도 없네. 딱 맞은 거죽을 찾았나 봐..?”,,,,,,,,,,,,,
,12,,“싯싯 나도 한 백오십년 전 쯤에 이런 거죽을 입었던 적이 있었지. 이젠 썩어 없어졌지만! 싯싯싯”,,,,,,,,,,,,,
,0,,당신은 아찔함을 느낀다. ,,,,,,,,,,,,,
,0,,인간이 연회장에 들어왔을 것이라는 생각조차 하지 못한 것인지 당신을 자신들과 동류로 생각하는 모양이다. ,,,,,,,,,,,,,
,0,,인간임을 들키면 어떻게 될까. 상상조차 하기 싫은 생각을 떨치고 당신은 그들에게 계속 질문을 이어간다.,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,수영장에 관한 이야기,s1,,,,,,,,,,
,,,,,복도에 관한 이야기,s2,,,,,,,,,,
,,,,,카지노에 관한 이야기,s3,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,-1,,당신은 자연스럽게 그들 사이에 녹아들기 위해 수영장에 관한 이야기를 꺼낸다.,,,,,,,,,,,,,
,10,,“그렇지 그렇지. 킁! 여기가 호텔의 주인께서 또 많은 신경을 기울이신 것 같더라고.”,,,,,,,,,,,,,
,11,,“…저는 가본 적이 없네요.”,,,,,,,,,,,,,
,12,,“싯 이정도는 얕은 편이지. 내가 미국의 호텔 스틱스에 갔을 때는 크툴루께서도 몸을 담글 수 있을 수영장이 있었다고 싯싯.”,,,,,,,,,,,,,
,0,,당신은 성공적으로 주의를 환기 시켰다. 이제 원하는 것에 대해 물어봐도 좋을 것 같다는 생각이 든다.,2,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s2,-1,,당신은 자연스럽게 그들 사이에 녹아들기 위해 끊임 없이 이어지는 복도에 관한 이야기를 꺼낸다.,,,,,,,,,,,,,
,10,,“킁..복도..? 그거 혹시 주인께서 인간 몰이를 위해 만들어 놓은 트랩 이야기인가?”,,,,,,,,,,,,,
,11,,“…우리에겐 아무런 영향도 없을 터..”,,,,,,,,,,,,,
,12,,“싯싯…어쩐지 너무 싱싱하다 했어 싯싯싯”,,,,,,,,,,,,,
,0,,고위 손님들은 서로를 향해 곁눈질 하더니 곧 당신을 에워싸고 점점 당신을 향해 다가선다.,,,,,,,,,,,,,
,10,,“흐@ 잠깐 실례를 범해도 될까 친구?”,,,,,,,,,,,,,
,11,,“…”,,,,,,,,,,,,,
,12,,“싯..”,,,,15,,,,,,,,,
,0,,당신은 심상치 않은 낌새를 눈치채고 빠르게 도망치려 한다. 하지만 그것은 당신이 할 수 있는 마지막 생각이었다.,,,,,,,,,,,,,
,0,,그들은 순식간에 입을 쫙 벌리더니@ 당신을 삼킨다. ,,,,,,,,,,,,,
,0,,당신은 무슨 일이 일어난지 인지하지도 못한 채 3등분으로 나뉘어 연회장에 피를 뿌렸다.,,,,,,,,,,,,,
,0,,당신은 연회장에 열기를 더해주는 이벤트쯤으로 비춰진 모양이다. ,,,,,,,,,,1,,,
,0,,주변에 있는 고위 손님들이 낄낄 거리며 웃더니 다시 자신들의 이야기 속으로 빠져 연회를 즐긴다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s3,-1,,당신은 자연스럽게 그들 사이에 녹아들기 위해 카지노에 관한 이야기를 꺼낸다,,,,,,,,,,,,,
,10,,“킁! 난 영 게임 운이 없단 말이지. 한번을 이긴 적이 없단 말이지”,,,,,,,,,,,,,
,11,,“…굳이 게임을 하지 않아도 그 인간 거죽 정도면 티켓은 얻을 수 있었을 거야.”,,,,,,,,,,,,,
,12,,“싯싯 교환원이 인간을 좀 주워 먹었으려나 모르겠네. 연회는 오랜만이니까 굳이 게임을 하지 않고 티켓을 구하려는 녀석들도 많았을 거야 싯”,,,,,,,,,,,,,
,0,,당신은 성공적으로 주의를 환기 시켰다. 이제 원하는 것에 대해 물어봐도 좋을 것 같다는 생각이 든다.,2,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select2,0,,,,체크아웃에 대해 물어본다.,s4,,,,,,,,,,
,,,,,주인에 대해 물어본다.,s5,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s4,-1,,당신은 어떻게 체크아웃을 할 수있는지 그들에게 물어본다.,,,,,,,,,,,,,
,11,,“..체크아웃? 내가 알기로는 주인님이 직접 허가를 해 주셔야 가능한걸로 알고 있어.”,,,,,,,,,,,,,
,10,,“킁! 한창 재밌던 참인데 벌써 가려고 하다니 특이한 놈이구만.”,,,,,,,,,,,,,
,12,,“싯싯싯 어차피 가만히 기다리다보면 자동으로 연회는 끝날텐데 말이야.”,,,,,,,,,,,,,
,0,,당신은 얼마나 기다려야 체크아웃을 할 수 있는지 물어본다.,,,,,,,,,,,,,
,12,,“싯싯 글쎄? 여기는 워낙 시간이 뒤죽박죽이니까 말이지. 알 수가 없다고”,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s5,-1,,당신은 주인은 어디에 있고 뭐하는 사람인지 물어본다.,,,,,,,,,,,,,
,11,,“…조금 있으면 주인님이 축사를 할거야.”,,,,,,,,,,,,,
,12,,“싯싯싯 주인님은 유명 인사인데@ 모르다니. 연회는 처음인가? 보다 고위급 존재시라고.”,,,,,,,,,,,,,
,10,,“킁. 거스를 수가 없다고. 주인님 말엔 말이야!”,,,,,,,,,,,,,
,0,,당신은 혹시 주인과 관련하여 들려오는 풍문이 없는지 물어본다.,,,,,,,,,,,,,
,11,,“..내가 듣기로는@ 직원들 대부분이 외부에서 공수해 온 녀석들이라고 해. 주인과 내기를 해서 져서 그렇게 됐다나?”,,,,,,,,,,,,,
,10,,“킁! 내가 듣기로는 말이지. 주인님과 같은 급의 존재가 스위트룸에 숙박중이라고 하더라고!”,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
