Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 다급히 문을 두드린다. ,,,,,,,,,,,,,
,0,,쿵쿵쿵,,,,,,,,,,,,,
,0,,안쪽에서 목소리가 들린다.,,,,,,,,,,,,,
,0,,[누구십니까?],,,,,,,,,,,,,
,0,,문을 열어주세요! 당신은 급하게 말한다.,,,,,,,,,,,,,
,0,,뒤를 돌아보자 거의 근접해 있는 그들의 모습이 보인다.,,,,,,,,,,,,,
,0,,[아하@ 급하신 모양입니다? 그렇다면 수수께끼를 맞춘다면 문을 열어드리겠습니다.],,,,,,,,,,,,,
,0,,수수께끼라니? 이 상황에서 말인가? 당신은 그렇게 생각하면서도 달리 선택지가 없기에 황당한 제안을 받아들인다.,,,,,,,,,,,,,
,0,,카페 마스터 이름은?,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,찰스,s4,,,,,,,,,,
,,,,,콜먼,s4,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s4,0,,안쪽에서 땡! 소리가 들린다. 문은 굳게 닫혀 있다. ,,,,,,,,,,,,,
,0,,뒤에서는 그들의 거친 숨소리@ 끼이익 거리는 소리@ 기괴한 소리@ 들려서는 안되는 소리가 들린다. 거의 근처다. 당신의 뒷 목에 소름이 오드드 돋는다. ,,,,,,,,,,,,,
,0,,당신은 눈을 질끈 감고 최후를 각오한다.,,,,,,,,,,,,,
,0,,[하하@ 농담입니다.],,,,,,,,,,,,,
,0,,문이 열리는 소리가 들리고@ 순식간에 모든 것이 조용해진다.,,,,,,,,,,,,,
,0,,[들어오시죠.],,,,,,,,,,,,,
,0,,뒤를 돌아보자@ 마치 아무것도 원래 존재 하지 않았다는 듯@ 끔찍하고 혐오스러운 그들의 모습은 흔적조차 보이지 않는다.,,,,,,,,,,,,,
,0,11,죽음과 가까워 졌던 당신은 탈력감을 느끼며 안으로 들어간다.,,,,11,,,,,,,,,
,0,,스위트룸은 화려한 카펫과 고급스러운 가구로 장식되어 있으며@ 넓은 창문이 한쪽 벽면을 차지하고 있다. ,,,,,,,,,,,,,
,0,,또@ 겉보기에도 푹신할 것 같은 소파와 킹 사이즈 침대는 휴식을 취하기에 이상적으로 보이며@ 얼핏 보이는 욕실은 대리석으로 이루어져 굉장히 고급스러워 보인다. ,,,,,,,,,,,,,
,0,,이 넓고 고급스러운 공간은 오직 한 존재를 위해 준비된 것 처럼 보인다.,,,,,,,,,,,,,
,8,,당신이 주변을 두리번 거리며 보고 있자@ 어디선가 고급스런 양복을 입은 존재가 술병과 술 잔을 들고 당신을 향해 걸어온다.,,,,,,,,,,,,,
,8,,“술 한잔 하시겠어요? 안색이 파래신데. 인간들은 힘들때면 술을 찾잖아요? 한 잔의 위로와 용기는 어떠신가요?”,4,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select4,0,,,,마신다,s6,,,,,,,,,,
,,,,,마시지 않는다.,s5,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s5,-1,,당신은 방금 전에 상황에 관해 물으려 목소리를 내려 한다. ,,,,,,,,,,,,,
,0,,그런 상황에서 무슨 수수께끼냐고@ 또 당신은 누구이며@ 혹시 나갈 수 있는 방법을 아냐고. ,,,,,,,,,,,,,
,0,,하지만 당신의 말은 당신의 안에서 메아리 쳐질 뿐@ 입 밖으로 나오지 않는다. 마치 감히 누구의 앞에서 말을 꺼내냐는 듯.,,,,,,,,,,,,,
,8,,“궁금한 점이 많으시리라 생각이 됩니다만@ 말이 나오지 않으시죠? 안타깝게도 당신과 저의 격의 차이가 당신의 발언을 허락하지 않는 모양입니다.”,,,,,,,,,,,,,
,13,,“당신을 쭉 봐왔습니다. 그 왜 있잖습니까@ 챗바퀴를 돌리는 애완 쥐를 보는 인간처럼 말이에요. 앞으로 간다고 생각하고 있지만@ 사실은 제자리에 있는거죠.”,,,,,,,,,,,,,
,8,,“그럼에도 불구하고! 열심히 뽈뽈거리며 우리 안을 돌아다니는 모습이 말이죠 마음에 들었습니다. 그런 당신을 위해 우리 밖을 나갈 수 있도록 할 수 있는 방법을 알려드리려 합니다.”,,,,,,,,,,,,,
,0,,그는 그렇게 말하며 당신에게 봉투에 쌓인 무엇 인가를 건내 준다.,,,,,,,,,,,11,,
,8,,“중요할 때 펼쳐보시길.”,,,,,,,,,,,,,
,8,,“그럼 몸 성히 나가시길. 행운을 빌죠.”,,,,10,,,,,,,,,
,-1,,당신이 눈을 한번 깜빡이자@ 당신은 어느새 복도에 있음을 알게 된다.,,,,,,,,,,,,,
,0,,무슨 일이 있던 걸까? 당신을 꿈을 꾼 것 같은 느낌을 받는다. ,,,,,,,,,,,,,
,0,,다만@ 중요할 때 펼쳐 보라던 봉투를 몸 안쪽 깊은 곳에 소중히 간직할 뿐이었다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s6,-1,,당신은 잔을 받아 술을 마신다.,,,,,,,,,,,,,
,0,,머리가 맑아지는 기분이다.,,,,,,,,,,,,,
,0,,[정신력이 10 회복되었다],,,,,,,,,,,-5,,
,0,,당신은 방금 전에 상황에 관해 물으려 목소리를 내려 한다. ,,,,,,,,,,,,,
,0,,그런 상황에서 무슨 수수께끼냐고@ 또 당신은 누구이며@ 혹시 나갈 수 있는 방법을 아냐고. ,,,,,,,,,,,,,
,0,,하지만 당신의 말은 당신의 안에서 메아리 쳐질 뿐@ 입 밖으로 나오지 않는다. 마치 감히 누구의 앞에서 말을 꺼내냐는 듯.,,,,,,,,,,,,,
,8,,“궁금한 점이 많으시리라 생각이 됩니다만@ 말이 나오지 않으시죠? 안타깝게도 당신과 저의 격의 차이가 당신의 발언을 허락하지 않는 모양입니다.”,,,,,,,,,,,,,
