Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 재빨리 짝수 층 엘레베이터 홀로 향했다.,,,,,,,,,,,,,
,0,,엘레베이터 홀에 들어서자마자 무거웠던 발걸음은 귀신같이 가벼워졌다.,,,,,,,,,,,,,
,0,-7,엘레베이터는 아직 정상적으로 작동 중인것 같다.,,,,,,,,,,,,,
,0,,"""....띵동!""",,,,,,,,,,,,,
,0,0,"""6층입니다.""",,,,,,,,,,,,,
,0,,당신은 엘레베이터 벽에 붙어 있는 건물 배치도를 본다. 2@ 4@ 6@ 8만이 붙어있는 엘레베이터 이다. 당신은 아무리 생각해도 이상한 엘레베이터 구조라는 생각을 한다.,,,,,,,,,,,,,
,0,,"""문이 열립니다.""",,,,,,,,,,,,,5
,0,,문이 열리고 당신은 엘레베이터에 탑승한다.,,,,,,,,,,,,,
,0,,몇 층으로 이동할까?,-1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
