Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신이 계산대 근처에 다가서자 당신의 뒤쪽에서 인기척이 느껴진다.,,,,,,,,,,,,,
,7,,“뭐 찾으슈?”,,,,,,,,,,,,,
,0,,그는 초록색이었고 탐욕스러움이 묻어났으며 여러 갈래의 촉수들이 둥둥 떠다니는 존재였다. 스토어를 관리하는 존재인 듯 하다.,,,,,,,,,,,,,
,0,,당신은 그에게 특수한 용지를 어디서 찾을 수 있는지 물어본다.,,,,,,,,,,,,,
,7,,“아아..특수용지..말이지?”,,,,,,,,,,,,,
,0,,그의 눈이 가늘게 떠지고 입은 찢어져라 웃는다.,,,,,,,,,,,,,
,7,,“손님이셨구만? 잠시만 기다리쇼.”,,,,,,,,,,,,,
,0,,그는 잠시 창고에 다녀오더니 촉수에 특수 용지를 가지고 나온다.,,,,,,,,,,,,,
,7,,“자. 손님이 원하던 거 여기있수.”,,,,,,,,,,,,,
,0,,당신은 특수 용지를 향해 손을 뻗지만@ 당신이 특수 용지에 가까워지자 촉수는 당신에게서 멀어진다.,,,,,,,,,,,,,
,7,,“어허. 선불입니다.”,,,,,,,,,,,,,
,0,,당신은 어떻게 가격을 지불 해야 하는지 묻는다.,,,,,,,,,,,,,
,7,,“거칠한 옥빛 촉수 조각상 가지고 계쇼?”,,,,,,,,,,,,,
,0,,당신은 고개를 젓는다.,,,,,,,,,,,,,
,7,,“그러면 거칠게 타오르는 업화는?”,,,,,,,,,,,,,
,0,,당신은 고개를 젓는다.,,,,,,,,,,,,,
,7,,“그래 그래 당연히 없겠죠.”,,,,,,,,,,,,,
,0,,그는 킬킬 웃더니 특수 용지를 건낸다.,,,,,,,,,,,,,
,7,,“자. 받아요”,,,,,,,,,,,,,
,0,,당신은 특수용지를 받아 든다. 당신은 어리둥절한 기분을 느낀다.,,,,,,,,,,,,,
,0,,당신이 특수용지를 손에 쥐자@ 특수용지에 당신의 이름이 써진다.,,,,,,,,,,,,,
,0,,그는 그것을 보며 눈을 가늘게 뜨며 웃는다.,,,,,,,,,,,,,
,7,,“이제 무조건 결제를 하셔야 합니다 손님.”,,,,,,,,,,,,,
,0,,하지만 당신에게는 지불할 수 있는 수단이 없다.,,,,,,,,,,,,,
,7,,“걱정하지 마세요. 이미 지불되었습니다.”,,,,,,,,,,,,,
,0,,이윽고 촉수가 당신을 붙잡고@ 당신을 삼킬 정도로 크게 벌어진 입은 이내 당신을 집어삼킨다.,,,,,,,,,,,,,
,0,,당신은 어둡고 축축하고 비좁은 공간에 갇힌다. 이대로 소화되어 죽는것인가? ,,,,,,,,,,,,,
,0,,그런 생각이 들 때 쯤. 당신은 역류하는 기분을 받는다. ,,,,,,,,,,,,,
,0,,그리고 잠시 눈이 멀듯한 빛이 보이더니@ 시야가 회복되자 앞에 누군가가 보인다.,,,,,,,,,,,,,
,0,,고급 정장에 마르고 큰 신장. 불타는 듯한 머리. 호텔의 주인이다.,,,,,,,,,,,,,
,5,,“이런 이런. 또 만났네요? 분명 체크 아웃을 해도 좋다고 했는데 어쩐 일이십니까? 그렇게 저희 호텔 서비스가 맘에 드셨나요?”,,,,,,,,,,,,,
,7,,“주인님. 이 손님이 가격도 지불하지 않고 스토어의 상품을 사용해버려서 스토어의 손해가 이만저만이 아닙니다요.”,,,,,,,,,,,,,
,5,,“아이고 저런! 걱정하지 마세요. 제가 따끔히 혼내드리도록 하겠습니다.”,,,,,,,,,,,,,
