Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신이 비밀번호를 알맞게 입력하자 책장이 덜컹 하는 소리를 내며 옆의 책장이 살짝 열린다. ,,,,,,,,,,,,,
,0,,당신은 슬쩍 주위를 돌아보았지만@ 당신에게 관심을 두고 있는 존재는 아무도 없는 듯 하다. ,,,,,,,,,,,,,
,0,,당신은 열린 책장 문을 열고 들어가 본다.,,,,,,,,,,,,,
,0,,책장의 안은 불빛이 존재하지 않아 내부의 모습은 잘 보이지 않는다. 당신은 안은 생각보다 아늑하다고 느낀다.,,,,,,,,,,,,,
,0,,당신의 눈은 곧 어둠에 익숙해지고 내부의 모습이 드러난다.,,,,,,,,,,,,,
,0,,내부는 그리 넓지 않았다. ,,,,,,,,,,,,,
,0,,방 하나 정도의 넓이를 지닌 공간에는 누군가가 방문자를 위해 준비해 놓은 듯한 안락 의자와 책상 하나가 덩그라니 놓여 있다.,,,,,,,,,,,,,
,0,,당신은 책상 위에 붙어있는 쪽지를 하나 발견한다.,,,,,,,,,,,,,
,0,,“이곳을 발견하는 생존자에게. 행운이 있기를. 추신: 문은 안에서 잠긴다.”,,,,,,,,,,,,,
,0,,당신은 이곳이 누군가가 준비해 놓은 튼튼한 대피소인 것 같다는 생각이 든다.,,,,15,,,,,,,,,
,0,,당신은 열린 문을 단단히 걸어 잠근다. ,,,,,,,,,,,,,
,0,,틈 새로 새어 나오던 빛조차 모두 틀어 막히고 숨 막히는 정적과 어둠만이 당신과 함께한다.,,,,,,,,,,,,,
,0,,당신은 방의 구석으로 가 무릎을 쪼그린 채 앉는다. 그리고 기다린다.,,,,,,,,,,,,,
,0,,간헐적으로 문 밖에서 소리가 들린다.,,,,,,,,,,,,,
,0,,갑작스럽게 사라진 당신을 찾는 것일까? 당신 귀에 얼핏 웅성거림이 들린다.,,,,,,,,,,,,,
,0,,당신은 애써 그 웅성거림을 무시한다.,,,,,,,,,,,,,
,0,,당신이 그 웅성거림을 무시하면 무시할 수록 당신의 귀에 점점 그 소리가 커져만 간다.,,,,,,,,,,,,,
,0,,당신은 고개를 흔들고 손으로 귀를 틀어 막는다. ,,,,,,,,,,,,,
,0,,하지만 그 소리는 당신의 귀를 통해 들리는 것이 아니라는 듯이 계속해서@ 당신을 괴롭힌다.,,,,,,,,,,,,,
,0,,호텔 주인과 같은 초월적인 존재가 숨는다고 해서 나를 찾지 못할 리 없다. ,,,,,,,,,,,,,
,0,,당신은 당신이 현명한 판단을 내리지 못했다는 생각이 든다. ,,,,,,,,,,,,,
,0,,숨이 가빠져 온다. 심장은 빠르게 뛰고 긴장이 당신의 정신을 좀먹는다.,,,,,,,,,,,,,
,0,-4,웅성거리는 탓에 잘 들리지 않던 목소리는 점점 선명해진다.,,,,,,,,,,,,,
,0,,“어디갔지???어디갔지????????? 어디갔지?????????”,,,,,,,,,,,,,
,0,,“킥킥킥킥킥킥킥킥킥킥킥킥킥킥킥”,,,,,,,,,,,,,
,0,0,“거기에 있구나? 거기에 있구나? 거기에 있구나? 거기에 있구나?”,,,,,,,,,,,,,
,0,,여려 목소리가 들리지만 모두 하나하나 뇌에 새겨지듯 그 단어가 들린다. 대피소의 문도 덜컥덜컥 떨린다.,,,,,,,,,,,,,
,0,,당신은 눈을 감고 고개를 무릎 사이로 파 묻는다. ,,,,,,,,,,,,,
,0,,낭패다. 들킨 것 같다. ,,,,,,,,,,,,,
,0,,이대로 끝이다. 당신은 절망감이 차오른다.,,,,,,,,,,,,,
,0,,모든 목소리들의 데시벨이 점점 오르고 문의 덜컥거림으로 문의 나사가 튕겨나와 바닥을 구른다.,,,,,,,,,,,,,
,0,,그때 당신은 그 모든 압박감 사이로 청명하게 튕겨지는 동전의 소리를 듣는다.,,,,,,,,,,,,,
,0,,‘땡그랑...’,,,,,,,,,,,,,
,0,,동전이 떨어지는 소리가 방 안에 울리고@ 모든 소음이 사라진다.,,,,,,,,,,,,,
,0,,당신은 순식간에 모든 압박에서 벗어난다. 방은 다시 적막이 흐른다.,,,,,,,,,,,,,
,0,,당신은 진이 너무나도 빠졌다. 순식간에 몰려오는 피로가 파도처럼 당신을 덮친다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,너무..피곤하다...,1d100,san,d1,,,,
,,,,,,,,,,,,d1,,,,
,,,,,,,,,,,,d2,,,,
end,,,,,,,,,,,,,,,,
d1,0,,“상상도 못한 방법인데요! 하지만 완벽한 정답은 아니랍니다. 다음에 다시 방문하시게 되면 올바른 방법으로 나가보시길..”,,,,,,,,,,,,,
,0,,정신을 잃어가는 당신에 전에 들었던 목소리가 웅웅거린다.,,,,,,,,,,,,,
,0,,이윽고 당신은 정신을 잃는다.,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
d2,0,,당신은 몰려오는 피로에 항거하지 못하고 그대로 정신을 잃는다. ,,,,,,,,,,,,,
,0,,다만 당신의 익숙한 목소리가 속삭였던 것도 같았다.,,,,,,,,,,,,,
,0,,........,,,,,,,,,,,,,
,0,,...............,,,,,,,,,,,,,
,0,,...................................,,,,,,,,,,,,,
,0,,당신은 방랑하는 의식을 그대로 내버려둔 채 무의식의 영역에서 포류한다.,,,,,,,,,,,,,
,0,,얼마나 지났을까? 누군가 당신을 흔들어 깨우는 느낌이 든다.,,,,,,,,,,,,,
,0,,“…!”,,,,,,,,,,,,,
,0,,당신을 향해 누군가가 말을 건다. ,,,,,,,,,,,,,
,0,,당신은 소스라치게 놀라며 빠르게 의식이 현실로 돌아온다.,,,,,,,,,,,,,
,0,,당신은 민첩하게 어깨를 잡은 손을 뿌리치고 도망치려 한다.,,,,,,,,,,,,,
,0,,“…세요! 이보세요!! 진정하세요!”,,,,,,,,,,,,,
,0,15,당신은 거친 숨을 몰아쉬며 주변 상황을 확인한다.,,,,14,,,,,,,,,
,0,,“…진정하세요. 당신은 무사합니다.”,,,,,,,,,,,,,
,0,,당신에게 말을 거는 그들의 복장이 익숙하다. ,,,,,,,,,,,,,
,0,,처음 당신을 맞이해주던 호텔 종업원 몇 명과 고급 정장을 입고있는 중년의 남자가 눈에 들어온다. 사람이다.,,,,,,,,,,,,,
,0,,“혹시 무슨 일이 벌어졌는지에 대한 이야기를 들을 수 있을까요?”,,,,,,,,,,,,,
,0,,중년의 남자는 자신을 호텔의 총지배인이라 소개한다.,,,,,,,,,,,,,
,0,,당신이 숨어있었던 그 공간은 이전에 호텔이 처음 지어졌을 때 재난 상황을 대비하여 지어진 벙커라고 한다.,,,,,,,,,,,,,
,0,,하지만 그 벙커는 사용이 중단된지가 몇년이 지났고 당신이 어떻게 그 안에 들어갈 수 있었는지에 대한 의문을 가진 모양이다.,,,,,,,,,,,,,
,0,,당신은 반 쯤은 얼이 빠진채 더듬더듬 이야기를 이어나간다. ,,,,,,,,,,,,,
,0,,하지만 그들이 믿어줄까? 방금 전 까지 있던 공간은 분명 당신이 사는 세계의 이야기는 아니다. ,,,,,,,,,,,,,
,0,,당신의 파리한 얼굴을 보고 관계자들은 당신의 횡설수설함에도 불구하고 당신을 진정시키고는@ 구급차에 태워 당신을 이송시킨다.,,,,15,,,,,,,,,
,0,,당신은 멍하니 구급차의 침대에 누워 창문을 바라본다. ,,,,,,,,,,,,,
,0,,그 틈 사이로 어둑어둑한 석양이 당신을 맞이한다. ,,,,,,,,,,,,,
,0,,그 따스함이 당신의 굳은 몸을 녹여준다. 당신은 살아남았다.,,,,,,,,,,,,,
,0,,주변의 나무들이 부드럽게 흔들리고@ 저 멀리 산맥의 실루엣이 어렴풋이 보인다. ,,,,,,,,,,,,,
,0,,당신은 깊은 한숨을 내쉬며@ 살아남았다는 사실에 안도감을 느낀다.,,,,,,,,,,,,,
,0,,하지만@ 석양이 지면서 하늘은 점점 어둡게 변하고@ 그 어둠 속에서 뭔가 이상한 기운이 느껴진다. ,,,,,,,,,,,,,
,0,,저 멀리서 호텔 건물의 실루엣이 희미하게 보이는데@ 그것이 마치 당신을 계속해서 지켜보고 있는 듯한 느낌을 준다.,,,,,,,,,,,,,
,0,,당신은 고개를 들어 주변을 둘러본다. ,,,,,,,,,,,,,
,0,,석양의 빛이 당신을 향해 따뜻하게 비추지만@ 그 안에 숨겨진 불길한 기운을 완전히 지울 수는 없다.,,,,,,,,,,,,,
,0,,이제 당신은 살아남았지만@ 호텔의 비밀은 여전히 당신의 마음속에 남아 있다. ,,,,,,,,,,,,,
,0,,그리고 당신은 알게 되었다. 이곳은 단순한 호텔이 아니었다는 것을. ,,,,,,,,,,,,,
,0,,어딘가에 숨겨진 어둠과 비밀이@ 당신을 계속해서 찾아올 것임을.,,,,,,,,,,3,,,
end,,,,,,,,,,,,,,,,
