Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신이 계산대 근처에 다가서자 당신의 뒤쪽에서 인기척이 느껴진다.,,,,,,,,,,,,,
,7,,“뭐 찾으슈?”,,,,,,,,,,,,,
,0,,그는 초록색이었고 탐욕스러움이 묻어났으며 여러 갈래의 촉수들이 둥둥 떠다니는 존재였다. 스토어를 관리하는 존재인 듯 하다.,,,,,,,,,,,,,
,0,,당신은 그에게 특수한 용지를 어디서 찾을 수 있는지 물어본다.,,,,,,,,,,,,,
,7,,“아아..특수용지..말이지?”,,,,,,,,,,,,,
,0,,그의 눈이 가늘게 떠지고 입은 찢어져라 웃는다.,,,,,,,,,,,,,
,7,,“손님이셨구만? 잠시만 기다리쇼.”,,,,,,,,,,,,,
,0,,그는 잠시 창고에 다녀오더니 촉수에 특수 용지를 가지고 나온다.,,,,,,,,,,,,,
,7,,“자. 손님이 원하던 거 여기있수.”,,,,,,,,,,,,,
,0,,당신은 특수 용지를 향해 손을 뻗지만@ 당신이 특수 용지에 가까워지자 촉수는 당신에게서 멀어진다.,,,,,,,,,,,,,
,7,,“어허. 선불입니다.”,,,,,,,,,,,,,
,0,,당신은 어떻게 가격을 지불 해야 하는지 묻는다.,,,,,,,,,,,,,
,7,,“거칠한 옥빛 촉수 조각상 가지고 계쇼?”,,,,,,,,,,,,,
,0,,당신은 고개를 젓는다.,,,,,,,,,,,,,
,7,,“그러면 거칠게 타오르는 업화는?”,,,,,,,,,,,,,
,0,,당신은 고개를 젓는다.,,,,,,,,,,,,,
,7,,“그래 그래 당연히 없겠죠.”,,,,,,,,,,,,,
,0,,그는 킬킬 웃더니 특수 용지를 건낸다.,,,,,,,,,,,,,
,7,,“자. 받아요”,,,,,,,,,,,,,
,0,,당신은 특수용지를 받아 든다. 당신은 어리둥절한 기분을 느낀다.,,,,,,,,,,,,,
,0,,당신이 특수용지를 손에 쥐자@ 특수용지의 색깔이 변한다. 흰색에서 붉은 색으로.,,,,,,,,,,,,,
,0,,그는 그것을 보며 눈을 가늘게 뜨며 웃는다.,,,,,,,,,,,,,
,7,,“이제 무조건 결제를 하셔야 합니다 손님.”,,,,,,,,,,,,,
,0,,하지만 당신에게는 지불할 수 있는 수단이 없다.,,,,,,,,,,,,,
,7,,“걱정하지 마세요. 이미 지불되었습니다.”,,,,,,,,,,,,,
,0,,그때@ 당신 품 안에 있던 어떤 것이 진동한다.,,,,,,,,,,,,,
,0,,스위트룸에서 받아 온 봉투이다. ,,,,,,,,,,,,,
,0,,위급할 때 열어보시오. ,,,,,,,,,,,,,
,0,,당신은 빠르게 봉투를 잡아 뜯는다.,,,,,,,,,,,,,10
,0,,그 안에서 등장한 것은 흔하게 볼 수 있는 모나미 볼펜.,,,,,,,,,,,,,
,0,,당신은 황당해 한다. 정말 위급할 때 필요할 것이라는 것이 모나미 볼펜이란 말인가?,,,,,,,,,,,,,-1
,0,,당신은 한숨을 내쉬며@ 다가올 아픔에 준비한다.,,,,,,,,,,,,,
,0,,하지만 무엇인가 이상하다. 당신을 진작에 움켜 잡았어야 할 촉수가 멈춰있는 것이 아닌가.,,,,,,,,,,,,,
,0,,시간이 멈췄다. 당신은 잠깐 얼이 빠져있다가 이 기회를 잡기 위해 움직인다.,,,,,,,,,,,,,
,0,,당신은 모나미 펜을 잡고 빨갛게 물든 특수용지에 당신의 이름을 쓴다.,,,,,,,,,,,,,8
,0,,그리고 라이터를 꺼내 그 용지를 태운다.,,,,,,,,,,,,,
,0,,[화르륵],,,,,,,,,,,,,-1
