Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,어느순간@ 연화장을 가득 채웠던 연주가 멈추고@ 한 고급스런 정장을 입은 한 존재가 마이크를 잡는다. ,,,,,,,,,,,,,
,5,,그는 마른 몸을 가지고 있었으며 불타는 듯한 얼굴을 지니고 있었다.,,,,,,,,,,,,,
,5,,“어서오세요 여러분들! 달이 아름다운 날입니다. 제가 준비한 만찬들은 잘 즐기셨는지요? 벌써 대부분 재료가 소진 된 것 같네요.,,,,,,,,,,,,,
,5,,다들 아시겠지만@ 저희 파티는 재료가 모두 소진되거나 달이 저물게 되면 끝이 나게 됩니다. 옆 손님이 다 먹어버리기 전에 어서 만찬을 즐기심이 어떠실까요 즐거운 시간 되시길.”,,,,,,,,,,,,,
,0,,호텔의 주인으로 보이는 사람이 축사를 한다. ,,,,,,,,,,,,,
,0,,당신은 그에게 한걸음에 달려가 체크아웃에 대해 이야기 하고 싶지만@ 그의 주변에 모인 인파가 너무 많아 접근하기 어려워 보인다.,,,,,,,,,,,,,
,0,,이대로라면 놓칠지 모른다는 생각에 당신은 그의 주의를 끌기 위해 크게 소리지른다. ,,,,,,,,,,,,,
,0,,순간 적막이 연회장을 감싸고 모든 주의가 당신을 향해 있음이 느껴진다.,,,,,,,,,,,,,
,0,,주인마저도 호기심을 갖고 무례를 저지른 당신을 바라보고 있다. 당신은 압박감을 떨쳐내고 체크아웃에 대한 문의를 한다.,,,,,,,,,,,,,
,5,,“체크아웃은 손님만 가능한데@ 재료가 너무 싱싱해서 주방을 뛰쳐나가려 하네요?”,,,,,,,,,,,,,
,0,,호텔의 주인은 무척이나 즐거워 보인다. 그는 당신을 쭉 바라보더니 히죽 웃고는 말한다.,,,,,,,,,,,,,
,5,,“좋아요...좋아요... 자신이 챗바퀴에 서 있는줄도 모르고 달리는 햄스터 같은 꼴이라니. 유쾌해서 참을 수 없네요.”,,,,,,,,,,,,,
,5,,“언제나처럼@ 내기로 정해보죠!”,,,,,,,,,,,,,
,5,,“동전던지기를 합시다. 앞면으로 하시겠어요 뒷면으로 하시겠어요?”,,,,,,,,,,,,,
,5,,“참고로 당신의 동전을 써도 무방하답니다!”,1,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
select,0,,,,앞면,s1,,,,,,,,,,
,,,,,뒷면,s2,,,,,,,,,,
end,,,,,,,,,,,,,,,,
s1,-1,,당신은 앞면을 고른다.,,,,,,,,,,,,,
,5,,“저에게 이기시면 체크아웃을 진행시켜드리겠습니다. ”,,,,,,,,,,,,,
,0,,동전이 던져지고@ 당신은 동전에서 눈을 떼지 못한다. 동전은 돌고@ 돌고@ 손 위에 안착한다. 결과는@ 앞면이다.,,,,,,,,,,,,,
,5,,“축하드립니다! 당신이 이기셨네요!”,,,,,,,,,,,,,
,0,,주인은 웃는 얼굴로 박수를 치며 말한다.,,,,,,,,,,,,,
,5,,“저희 직원이 나가는 길을 안내 해드릴 겁니다.”,,,,,,,,,,,,,
,0,,사람들 사이로 직원 하나가 걸어 들어온다.,,,,,,,,,,,,,
,0,,그는 자신을 따라오라는 듯@ 손짓하고 앞장서서 걷는다.,,,,,,,,,,,,,
,0,,뒤를 돌아보자 호텔 주인이 당신을 향해 인사하고 있는 것이 보인다.,,,,,,,,,,,,,
,0,,이대로 진짜 나갈 수 있는 것인가? 이토록 쉽게? 의심이 들지만@ 당신은 한편으로는 나갈 수 있음에 가슴이 떨려온다.,,,,,,,,,,,,15,
end,,,,,,,,,,,,,,,,
s2,-1,,당신은 뒷면을 고른다.,,,,,,,,,,,,,
,5,,“저에게 이기시면 체크아웃을 진행시켜드리겠습니다. ”,,,,,,,,,,,,,
,0,,동전이 던져지고@ 당신은 동전에서 눈을 떼지 못한다. 동전은 돌고@ 돌고@ 손 위에 안착한다. 결과는@ 앞면이다.,,,,,,,,,,,,,
,5,,“저런@ 아쉽게 됐네요.”,,,,,,,,,,,,,
,0,,주인은 눈썹을 찌푸리며 진심으로 안타깝다는 듯이 말한다. ,,,,,,,,,,,,,
,0,,당신은 크게 절망한다. 이대로 끝인 것일까?,,,,,,,,,,,,,
,5,,“하지만 이대로 끝나면 재미가 없잖아요?”,,,,,,,,,,,,,
,5,,“사실 제가 당신을 보내주고 싶어도 저희 호텔에는 [룰]이라는게 있어요.”,,,,,,,,,,,,,
,5,,“이 [룰]을 지키지 않는다면 나간다 해도 의미가 없답니다. 진짜로 나갈 수 없어요”,,,,,,,,,,,,,
,5,,“[룰]은 간단해요! 특수 용지에 자신의 이름을 쓰고 불태우면 끝입니다!”,,,,,,,,,,,,,
,5,,“그 전에 제 허가를 받아야 하지만요. 허가해 드릴게요. 당신의 체크아웃.”,,,,,,,,,,,,,
