Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,카페의 문을 열자 마자 보이는 마스터에게 당신은 그 물을 전달한다.,,,,,,,,,,,,,
,1,,“가지고 오셨나요?”,,,,,,,,,,,,,
,1,,“확실하네요. 가장 깊은 곳의 물이군요. 그렇다면 지금부터 음료를 만들어 드리겠습니다.”,,,,,,,,,,,,,
,0,,마스터는 여러 재료들을 쉐이커 안에 섞어 능숙하게 쉐이킹을 진행한다.,,,,,,,,,,,,,
,1,,“완성되었습니다. 주문하신 [탈출을 위한 절규]입니다”,,,,,,,,,,,,,
,0,,당신은 마스터에게 고개를 살포시 숙여 감사를 전한 뒤@ 음료를 획득하여 품에 잘 넣어 복도로 이동한다.,,,,,,,,,,,,,
,0,,복도로 나온 후 @당신은 음료를 마셨다.,,,,,,,,,,,,,
,0,,그것은 굉장히 달았다.,,,,,,,,,,,,,
,0,,음료를 마신 직후 당신은 심한 어지러움과 두통을 느낀다.,,,,,,,,,,,,,
,0,,이후@ 다시 괜찮아졌을 때 눈 앞에는 정상적인 복도만 존재했다.,,,,,,,,,,,,,
,0,,당신은 이제 홀수 층 엘레베이터로 향할 수 있을 것 같다.,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,
