Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,5,"""....띵동!""",,,,,,,,,,,,,
,0,0,"""2층입니다.""",,,,7,,,,,,,,,
,0,-9,당신이 엘레베이터에서 내리자 마자 당신에 귀에 아름다운 선율이 감긴다.,,,,,,,,,,,,,
,0,,"""—————!""",,,,,,,,,,,,,
,0,,노래 가사를 이해할 수 없지만 당신은 그것을 아름답다고 느낀다.,,,,,,,,,,,,,
,0,,당신이 노래소리에 홀리듯 한 발자국 엘레베이터에서 발을 뗀다.,,,,,,,,,,,,,
,0,,[찰박],,,,,,,,,,,,,
,0,,발 아래가 차갑다. 당신은 화들짝 놀라며 황급히 주위를 돌아본다.,,,,,,,,,,,,,
,0,0,물@ 물@ 물. 당신은 깊디 깊은 수영장의 한 가운데 있다.,,,,15,,,,,,,,,
,0,,그 사실을 인지하자마자@ 저 깊은 아래에서 무엇인가가 당신을 부르는 느낌이 든다. 당신은 아래로 잡아당겨지는 느낌과 함께 물 속으로 들어간다.,,,,,,,,,,,,,
,0,,아래로.. 아래로…,,,,,,,,,,,,,
,0,,정신이 점점 아득해진다.,,,,,,,,,,,,,
,0,,어딜 봐도 빛은 없다.,,,,,,,,,,,,,
,0,,어둠@ 어둠@ 어둠@ 물@ 물@ 물..,,,,,,,,,,,,,
,0,,그러다 당신은 따스한 빛을 발견한다.,,,,,,,,,,,,,
,0,,빛이다!,,,,,,,,,,,,,
,0,,당신은 빛으로 헤엄쳐 간다. ,,,,,,,,,,,,,25
,0,-8,하지만@ 당신을 반기는 것은 따스한 빛이 아니다.,,,,,,,,,,,,,
,0,,날카롭고@ 시렵고@ 온 몸이 덜덜 떨리는 수백@ 수천 개의 이빨.,,,,,,,,,,,,,
,0,0,당신은 빛에 끌린 한 마리의 날파리였던 것이다.,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
