Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 수화기 너머 연회장이라는 단어를 캐치하고 10층 연회장에 도착했다. ,,,,,,,,,,,,
,,,당신이 연회장 앞으로 가자@ 그곳에는 연회장에 입장하는 손님들이 줄을 서 하나씩 입장하는 모습이 보인다. 당신은 자연스럽게 그 대열에 합류한다.,,,,,,,,,,,,
,,,곧이어 당신의 차례가 온다. 입장을 도와주는 직원은 말 없이 손을 내민다.,1,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select,0,,,,하이파이브를 한다,s1,,,,,,,,,
,,,,,악수를 한다,s1,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,나레이션,직원은 그게 아니라는 듯 품 안을 뒤져 티켓을 가리킨다. 당신은 티켓이 필요함을 알게 되었지만@ 그것이 어디에서 구할 수 있을지는 모른다.,,,,,,,,,,,,
,0,,“혹시 어디서 티켓을 얻을 수 있을까요?”,,,,,,,,,,,,
,0,,[현재 연회장@은 예약@하신@분들께 티켓을 미리@발부한@ 상태이고@ 뒤늦게@ 참가하실@ 손님께서는@ 카지노에@서@ 위닝@프라이즈로@ 획득하실 수@ 있습니@다.],,,,,,,,,,,,
,0,,당신은 직원에게 살포시 감사를 전한 뒤 대열을 이탈하여 엘레베이터로 돌아간다.,,,,,,,,,,,,12
end,,,,,,,,,,,,,,,
