Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,어디로 갈까?,3,,,,,,,,,,,
end,,,,,,,,,,,,,,,
select3,0,나레이션,,,연회장(10F),s1,,,,,,,,,
,,,,,스위트룸(9F),s2,,,,,,,,,
,,,,,카지노(5F),s3,,,,,,,,,
,,,,,주방(3F),s4,,,,,,,,,
end,,,,,,,,,,,,,,,
s1,0,나레이션,....띵!,,,,,,,,,,,,
,0,나레이션,10층입니다!,,,,,,,,,,,,10
end,,,,,,,,,,,,,,,
s2,0,나레이션,....띵!,,,,,,,,,,,,
,0,나레이션,9층입니다!,,,,,,,,,,,,11
end,,,,,,,,,,,,,,,
s3,0,나레이션,....띵!,,,,,,,,,,,,
,0,나레이션,5층입니다!,,,,,,,,,,,,12
end,,,,,,,,,,,,,,,
s4,0,나레이션,....띵!,,,,,,,,,,,,
,0,나레이션,3층입니다!,,,,,,,,,,,,16
end,,,,,,,,,,,,,,,
